"1,000 Lakes",404_RALLYING.naf
"1,000 Lakes Rally",241_RALLYING.naf
"1,000 Lakes Rally",243_RALLYING.naf
"1,000 Lakes Rally",313_RALLYING.naf
"1,000 LAKES RALLY",313_RALLYING.naf
"1,000 Lakes Rally",320_RALLYING.naf
"1,000 LAKES RALLY",320_RALLYING.naf
"1,000 Lakes Rally",403_RALLYING.naf
"1,000 LAKES RALLY",403_RALLYING.naf
1000 Lakes Rally,404_RALLYING.naf
"1,000 Lakes Rally",405_RALLYING.naf
"1,000 LAKES RALLY",405_RALLYING.naf
12th Dynasty,384_Egypt.naf
1966-76 Cultural Revolution,1139testa_Chinese.naf
1993 BellSouth Classic,1090testa_GOLF.naf
1993 World Cup,1348testb_ALPINE.naf
1996 Miss Teen USA,99_Miss.naf
1997--Ruehe,299_German.naf
1ama,48_BADMINTON.naf
21st African Cup of Nations,704_Soccer.naf
3M,8_Venantius.naf
90,1150testa_Automakers.naf
A$,116_RTRS.naf
A$,117_RTRS.naf
A$,225_RTRS.naf
A$,227_RTRS.naf
A$,623_Painted.naf
A$,728_RTRS.naf
A$,778_RTRS.naf
A$,985testa_Late.naf
AA,1223testb_Britain.naf
Aamir Sohail,1056testa_CRICKET.naf
Aamir Sohail,1058testa_CRICKET.naf
Aamir Sohail,137_CRICKET.naf
Aamir Sohail,176_CRICKET.naf
Aamir Sohail,250_CRICKET.naf
Aamir Sohail,279_CRICKET.naf
Aamir Sohail,329_CRICKET.naf
Aamir Sohail,38_CRICKET.naf
Aamir Sohail,413_CRICKET.naf
Aamir Sohail,525_CRICKET.naf
Aamir Sohail,805_CRICKET.naf
Aamir Sohail,806_CRICKET.naf
Aamir Sohail,808_CRICKET.naf
Aaxis,796_ISS.naf
Aaxis Limited,796_ISS.naf
Abbaye,32_HORSE.naf
Abdel-Rahman,1303testb_PLO.naf
ABDERDEEN,943_SOCCER.naf
Abdul-Karim al-Kabariti,386_PRESS.naf
Abdul-Karim al-Kabariti,755_Turkey.naf
Abdul-Karim al-Kabariti,890_Jordanian.naf
Abdul-Karim al-Kabariti,895_Jordanian.naf
Abdul Latif Helou,1165testb_SOCCER.naf
Abdul Rahman,178_Soccer.naf
Abdul Rahman Haj Yihye,178_Soccer.naf
Abdulsamad Hameed Ali,733_Iraq.naf
Abdul Samad Ismail,48_BADMINTON.naf
AbelardoFernandez,1202testb_SOCCER.naf
ABN-AMRO Hoare Govett,547_COFINEC.naf
A. Brown,251_CRICKET.naf
A. Brown,411_CRICKET.naf
Abu Ibrahim,1310testb_U.S..naf
Abu Rdainah,14_Israel.naf
Abyss DeJesus,590_Puerto.naf
A. Campbell,445_CRICKET.naf
ACC,746_India.naf
ACCESS,1309testb_ACCESS.naf
Acimovic,994testa_Belgrade.naf
A. Cottey,411_CRICKET.naf
A. Cowan,135_CRICKET.naf
A. Cowan,37_CRICKET.naf
Action Performance Cos Inc,1284testb_Action.naf
A. Curts Cooke,1239testb_Russ.naf
AD,831_ND.naf
A. Dale,948testa_CRICKET.naf
Adams,655_CRICKET.naf
Addameer Prisoners Support Association,792_Palestinian.naf
Add Hapoel Ironi,44_SOCCER.naf
ADDIS ABABA,338_SOCCER.naf
Addis Ababa,418_SOCCER.naf
Addis Ababa,97_Egypt.naf
AD DUSTOUR,386_PRESS.naf
Adel,291_Iran.naf
Adelbert Knobl,126_Ukraine.naf
Adel Ibrahim,192_Jordan.naf
Adel Ibrahim,206_Jordan.naf
Adelt,750_VW.naf
Adem Hacini,967testa_ATHLETICS.naf
Adem Hodzic,720_Exiled.naf
A.de Silva,687_CRICKET.naf
A.de Silva,973testa_CRICKET.naf
Adler Capelli,1057testa_CYCLING.naf
Admira / Wacker,275_SOCCER.naf
Admira / Wacker,443_SOCCER.naf
Adnan Xhelili,561_Albania.naf
Adolfo,725_Gov't.naf
AdOn,609_AOL.naf
AdOn GmbH,609_AOL.naf
Adriana Serra-Zanetti,530_TENNIS.naf
Adrian Warner,156_ATHLETICS.naf
Adrian Warner,160_ATHLETICS.naf
Adrian Warner,684_ATHLETICS.naf
Adrian Warner,825_ATHLETICS.naf
Adrian Warner,966testa_ATHLETICS.naf
ADV,105_German.naf
Advanced Medical,400_Advanced.naf
Advanced Medical Inc.,400_Advanced.naf
AECO,1280testb_NYMEX.naf
AEI,753_AEI.naf
AEI Iberfreight,753_AEI.naf
Aerodrom Beograd,994testa_Belgrade.naf
Aerostan,16_Afghan.naf
A. Flower,445_CRICKET.naf
A. Fraser,1070testa_CRICKET.naf
A. Fraser,809_CRICKET.naf
African Champions Cup,707_Ivorian.naf
African Cup Winners ' Cup,1185testb_SOCCER.naf
AFRICAN CUP WINNERS ' CUP,1185testb_SOCCER.naf
African Nations ' Cup,1075testa_SOCCER.naf
African Nations ' Cup,812_SOCCER.naf
Afrikaners,1125testa_S..naf
Afrim Tole,1377testb_SOCCER.naf
"A.G. Edwards & Sons , Inc",493_BALANCE.naf
"A.G. Edwards & Sons , Inc",735_BALANCE-Water.naf
AGF-IART,771_Highlights.naf
A. Giles,135_CRICKET.naf
A. Giles,251_CRICKET.naf
A. Giles,37_CRICKET.naf
A. Giles,411_CRICKET.naf
A. Giles,809_CRICKET.naf
Agir Ensemble pour les Droits de l'Homme,853_Tension.naf
Agnes Goinxha Bejaxhiu,115_Mother.naf
Agnieszka Godras,942_CYCLING.naf
Agota Kuperman,451_OSCE.naf
Agricultural Statistics Service,737_WHEAT--Rains.naf
Agriculture Ministry,29_German.naf
Agriculture Ministry,628_Japan.naf
Agriculture Ministry,718_Bulgarians.naf
Agriculture Ministry,905_New.naf
Agrins Zarins,44_SOCCER.naf
AGROTONZ TLUMACOV,548_DIRECT.naf
Aguas Zarcas de San Carlos,459_Unknown.naf
Aguirre,853_Tension.naf
A. Gurusinha,973testa_CRICKET.naf
A. Harris,809_CRICKET.naf
Ahmed Abdel-Rahman,1303testb_PLO.naf
Ahmed Faizy,528_SQUASH.naf
Ahmed Hashem Zighayer,632_Palestinians.naf
Ahmed Kafawin,192_Jordan.naf
Ahmed Korei,730_PLO.naf
Ahmed Mestiri,292_Main.naf
Ahold NV,1343testb_Ahold.naf
A. Hollioake,1054testa_CRICKET.naf
A. Hollioake,1056testa_CRICKET.naf
aid-U.N.,1145testa_KPD.naf
Ainars Kiksis,1057testa_CYCLING.naf
Ainars Kiksis,642_CYCLING.naf
Ai n't no telling,2_Rare.naf
Airbus 310,475_Hijacked.naf
Airbus 310,621_Hijacked.naf
Airbus 310,622_Hijacked.naf
Airbus,513_More.naf
Airbus,733_Iraq.naf
Airbus A310,610_All.naf
Airbus A310,619_Most.naf
Air Cargo Newsroom,1035testa_Dutch.naf
Air Cargo Newsroom,105_German.naf
Air Cargo Newsroom,198_Lufthansa.naf
Air Cargo Newsroom,753_AEI.naf
Air Corps,237_PRESS.naf
Air Express International,753_AEI.naf
Airport Facilities,929_Airport.naf
Airport Facilities Co Ltd,929_Airport.naf
Aishwarya,201_Nepal.naf
Aiza Dudayeva,1128testa_Chechens.naf
A. Jadeja,687_CRICKET.naf
A. Kapoor,687_CRICKET.naf
Akbel,755_Turkey.naf
Akbel,756_Italian.naf
Aki,1055testa_CYCLING.naf
Aki,546_CYCLING.naf
Aki,640_CYCLING.naf
Aki,641_CYCLING.naf
Aki,802_CYCLING.naf
AL,533_BASEBALL.naf
AL,584_Birmingham.naf
Alan Ackerman,512_FOCUS.naf
Alan Bateman,1375testb_RUGBY.naf
Alan Elsner,582_Anti-abortion.naf
Alaniya Vladikavkaz,343_SOCCER.naf
Alan John Percivale ( A.J.P. ) Taylor,1117testa_Reuters.naf
Alan Lovell,514_FEATURE.naf
AL-ANWAR,19_PRESS.naf
AL-ANWAR,509_PRESS.naf
Alarm UK,514_FEATURE.naf
Alastair Macdonald,452_After.naf
AL ASWAQ,386_PRESS.naf
Alba,1079testa_BASKETBALL.naf
Alba,1080testa_BASKETBALLSOCCER.naf
Alba,656_BASKETBALL.naf
Alba,813_BASKETBALL.naf
Albanian-born,278_Princess.naf
Alberta,1280testb_NYMEX.naf
Alberto Costa,49_TENNIS.naf
Alberto Costa,530_TENNIS.naf
Alberto Piotti,850_Buenos.naf
Albion,1068testa_SOCCER.naf
Albion,134_SOCCER.naf
Albion,252_SOCCER.naf
Albion,416_SOCCER.naf
Alcatel Alsthom,595_French.naf
A.L. Central,53_BASEBALL.naf
al-Daih,1146testa_Fire.naf
Aleix Vidal-Quadras,793_PRESS.naf
Aleksander Lebed,722_Lebed.naf
Aleksandrovac,87_PRESS.naf
Alena Koroleva,1360testb_SPEED.naf
Alessandra Merlin,1350testb_ALPINE.naf
Alessandro Baronti,362_CYCLING.naf
Alexander Babayan,716_Russian.naf
Alexander Barkhatov,85_Lebed.naf
Alexander Bavykin,1312testb_Cyberspace.naf
Alexander Livshits,1251testb_Russia.naf
Alexander Paris,172_RESEARCH.naf
Alexandre Barros,944_MOTORCYCLING.naf
Alexandre Mikhailov,1357testb_FREESTYLE.naf
Alexandroupolis,751_MILTIADIS.naf
ALEXANDROUPOLIS,751_MILTIADIS.naf
Alex Belometti,315_MOTOCROSS.naf
Alex Boraine,375_South.naf
Alexis Blanc,1354testb_SKIING-CHINESE.naf
Alexis Blanc,1357testb_FREESTYLE.naf
Alex O'Brien,140_TENNIS.naf
Alex O'Brien,141_TENNIS.naf
Alex O'Brien,256_TENNIS.naf
Alex O'Brien,42_TENNIS.naf
Alex O'Brien,437_TENNIS.naf
Alex O'Brien,49_TENNIS.naf
Alex O'Brien,535_TENNIS.naf
Alex O'Brien,961testa_TENNIS.naf
Alfonse D'Amato,1216testb_POLAND.naf
Alfonso Rios,1102testa_SOCCER.naf
al-Gama'a al-Islamiya,1027testa_Egypt.naf
Algerians,104_Suspected.naf
Algeria TV,104_Suspected.naf
Algoa Day,1333testb_Thai.naf
Alhadji Kromah,712_New.naf
Ali Ahmed,1028testa_Israel.naf
Ali Dib,1165testb_SOCCER.naf
Ali Fallahiyan,1156testa_Iran.naf
Ali Fallahiyan,891_Iran.naf
al-Ingaz al-Watani,287_Sudan.naf
Alkhan-Yurt,88_Grozny.naf
ALKHAN-YURT,88_Grozny.naf
Allahu Akhbar,1128testa_Chechens.naf
Allan Budi Kuksuma,1184testb_BADMINTON.naf
Allan Mullally,805_CRICKET.naf
Allen,690_S.AFRICAN.naf
All-England Club,961testa_TENNIS.naf
All Fishermen 's Association,748_India.naf
Alliance-Menatep,716_Russian.naf
All-Star,440_BASEBALL.naf
All the President 's Men,129_Viacom.naf
AL-MUNTAR,478_Israeli.naf
Alomella Robles,91_Peru.naf
Alonso Cervera,460_Interacciones.naf
Alpha Technologies Group Inc,218_Alpha.naf
Alpha Techs,218_Alpha.naf
Alpine,1050testa_SOCCER.naf
AL-RAM,1028testa_Israel.naf
al-Risala,95_Palestinians.naf
Alta,489_Prairies.naf
al-Tadamun,614_Egypt.naf
Altamira,459_Unknown.naf
Alucasa,570_Venezuela.naf
Alvarado,569_Dutch.naf
Aly Ashour,1185testb_SOCCER.naf
Amazon Affairs Department,190_Brazil.naf
Amer Hishem Ali Mohammed,222_Libyan.naf
American,160_ATHLETICS.naf
American,961testa_TENNIS.naf
American Catholics,1011testa_U.S..naf
AMERICAN FOOTBALL-RANDALL,962testa_NFL.naf
American League Western,53_BASEBALL.naf
