ACM Transactions on Internet Technology,1533-5399,1557-6051,1,2,Tekn - Nett og nettverksfunksjonalitet
ACM transactions on sensor networks,1550-4867,1550-4859,1,2,Tekn - Nett og nettverksfunksjonalitet
ACM Transactions on the Web,1559-1131,1559-114X,1,2,Tekn - Nett og nettverksfunksjonalitet
ACS Applied Materials and Interfaces,1944-8244,1944-8252,2,1,Tekn - Kjemisk teknologi
American Journal of Law & Medicine,0098-8588,,2,1,Rettsvitenskap
American Law and Economics Review,1465-7252,1465-7260,2,1,Rettsvitenskap
American Society of Nephrology. Clinical Journal,1555-9041,1555-905X,1,2,Med - Nefrologi
American University International Law Review,1520-460X,,2,1,Rettsvitenskap
Annals of the Association of American Geographers,0004-5608,1467-8306,2,1,Geografi
Annual Review of Materials Research,0084-6600,,2,1,Tekn - Materialteknologi
Annual Rewiew of the Sociology of Religion,1877-5233,,1,2,Teologi og religionsvitenskap
Applied Physics A: Materials Science & Processing,0947-8396,1432-0630,2,1,Tekn - Materialteknologi
Applied physics B,0946-2171,1432-0649,2,1,Tekn - Generell
Archive for the Psychology of Religion/ Archiv für Religionspsychologie,0084-6724,1573-6121,1,2,Teologi og religionsvitenskap
Arctic Review on Law and Politics,1891-6252,,1,2,Rettsvitenskap
Arthritis Research & Therapy,,1478-6362,1,2,Med - Revmatologi
Astrophysical Journal Letters,2041-8205,2041-8213,1,2,Fysikk
Benjamins Translation Library,0929-7316,,2,1,Lingvistikk
Biblical Interpretation Series,0928-0731,,2,1,Teologi og religionsvitenskap
British Journal of Clinical Pharmacology,0306-5251,1365-2125,1,2,"Farmasi, farmakologi og toksikologi"
Business history review,0007-6805,2044-768X,2,1,Økonomisk-administrative fag
California Management Review,0008-1256,2162-8564,2,1,Økonomisk-administrative fag
Canadian geotechnical journal (Print),0008-3674,1208-6010,1,2,Tekn - Bygg og konstruksjonsteknikk
Carbohydrate Polymers,0144-8617,1879-1344,2,1,"Farmasi, farmakologi og toksikologi"
Cement and Concrete Research,0008-8846,1873-3948,1,2,Tekn - Bygg og konstruksjonsteknikk
CIRP - Journal of Manufacturing Science and Technology,1755-5817,1878-0016,1,2,Tekn - Maskinteknikk
Columbia journal of transnational law,0010-1931,2159-1814,2,1,Rettsvitenskap
Columbia Law Review,0010-1958,1945-2268,2,1,Rettsvitenskap
Combustion Science and Technology,0010-2202,1563-521X,2,1,Tekn - Energi
Computational materials science,0927-0256,1879-0801,1,2,Tekn - Materialteknologi
Constitutional Law Library,1871-4110,,2,1,Rettsvitenskap
Construction and Building Materials,0950-0618,1879-0526,1,2,Tekn - Bygg og konstruksjonsteknikk
Contemporary Educational Psychology,0361-476X,1090-2384,1,2,Pedagogikk og utdanning
Cornell international law journal,0010-8812,1930-7977,2,1,Rettsvitenskap
Cornell law review,0010-8847,,2,1,Rettsvitenskap
Corrosion,0010-9312,1938-159X,2,1,Tekn - Materialteknologi
Crystal Growth & Design,1528-7483,1528-7505,1,2,Tekn - Materialteknologi
Demography,0070-3370,1533-7790,1,2,Sosiologi
Deutsch als Fremdsprache,0011-9741,,1,2,Tysk og nederlandsk
Developments in International Law,0924-5332,,2,1,Rettsvitenskap
Distributed computing,0178-2770,1432-0452,2,1,Informatikk
Document Design Companion Series,1568-1963,,2,1,Medier og kommunikasjon
Duke law journal,0012-7086,1939-9111,2,1,Rettsvitenskap
Ecology law quarterly,0046-1121,,2,1,Rettsvitenskap
Econometrics Journal,1368-4221,1368-423X,1,2,Samfunnsøkonomi
