Literal,data1,data2,data3,data4,data5,ES Time elapsed,# ES Hits,DBpedia in first 100,100 or less,Hits
ACM Transactions on Internet Technology,1533-5399,1557-6051,1,2,Tekn - Nett og nettverksfunksjonalitet,2180,119,32.0,100.0,"[u'http://ld.zdb-services.de/resource/2060058-6', u'http://dbpedia.org/resource/Representational_State_Transfer', u'http://dbpedia.org/resource/Representational_State_Transfer', u'http://dbpedia.org/resource/Representational_State_Transfer', u'http://kisti.rkbexplorer.com/id/JOU_00000000000000000091', u'http://dbpedia.org/resource/Representational_State_Transfer', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-f83ef1d852012bcdf3abeb605b7eeeb1', u'http://eprints.rkbexplorer.com/id/ucl/journal-e4c604607b6a1a6a64ca93b708aec620', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-15335399', u'http://ko.dbpedia.org/resource/REST', u'http://wikidata.dbpedia.org/resource/Q2444691', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Internet_Technology', u'http://wikidata.dbpedia.org/resource/Q2444691', u'http://lobid.org/resource/ZDB2060058-6', u'http://dbpedia.org/resource/Representational_state_transfer', u'http://it.dbpedia.org/resource/Representational_State_Transfer', u'http://it.dbpedia.org/resource/Representational_State_Transfer', u'http://www.wikidata.org/entity/Q2444691', u'http://www.wikidata.org/entity/Q2444691', u'http://dbpedia.org/resource/Representational_state_transfer']"
ACM transactions on sensor networks,1550-4867,1550-4859,1,2,Tekn - Nett og nettverksfunksjonalitet,705,50,22.0,50.0,"[u'http://ld.zdb-services.de/resource/2206554-4', u'http://eprints.rkbexplorer.com/id/ecs-soton/journal-b6f6ee6c4828f0db08a49f260b557507', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-4632aaea7fad6c904dc875e902a35126', u'http://eprints.rkbexplorer.com/id/twente/journal-b6f6ee6c4828f0db08a49f260b557507', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-4632aaea7fad6c904dc875e902a35126', u'http://wikidata.dbpedia.org/resource/Q2327310', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Sensor_Networks', u'http://wikidata.dbpedia.org/resource/Q2327310', u'http://era.rkbexplorer.com/id/ERAID-17742', u'http://dbpedia.org/resource/Wireless_sensor_network', u'http://www.wikidata.org/entity/Q2327310', u'http://www.wikidata.org/entity/Q2327310', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-4632aaea7fad6c904dc875e902a35126', u'http://lod.hebis.de/resource/13025190', u'http://pl.dbpedia.org/resource/Sieci_sensorowe', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-4632aaea7fad6c904dc875e902a35126', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_Sensor_Networks', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-4632aaea7fad6c904dc875e902a35126', u'http://southampton.rkbexplorer.com/id/journal-b6f6ee6c4828f0db08a49f260b557507', u'http://wikidata.dbpedia.org/resource/Q2327310']"
ACM Transactions on the Web,1559-1131,1559-114X,1,2,Tekn - Nett og nettverksfunksjonalitet,2576,72,14.0,72.0,"[u'http://ld.zdb-services.de/resource/2279920-5', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_the_Web', u'http://ebiquity.umbc.edu/paper/html/id/386/Scalable-semantic-analytics-on-social-networks-for-addressing-the-problem-of-conflict-of-interest-detection', u'http://ebiquity.umbc.edu/paper/html/id/386/Scalable-semantic-analytics-on-social-networks-for-addressing-the-problem-of-conflict-of-interest-detection', u'http://ebiquity.umbc.edu/paper/html/id/386/Scalable-semantic-analytics-on-social-networks-for-addressing-the-problem-of-conflict-of-interest-detection', u'http://ebiquity.umbc.edu/paper/html/id/386/Scalable-semantic-analytics-on-social-networks-for-addressing-the-problem-of-conflict-of-interest-detection', u'http://southampton.rkbexplorer.com/id/journal-ec2dd6f1f217f39f8a253ef310a94f48', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-e46254bc45524a7dfd214ccbad3f5a86', u'http://wikidata.dbpedia.org/resource/Q2750226', u'http://wikidata.dbpedia.org/resource/Q2750226', u'http://ebiquity.umbc.edu/paper/html/id/386/Scalable-semantic-analytics-on-social-networks-for-addressing-the-problem-of-conflict-of-interest-detection', u'http://ebiquity.umbc.edu/paper/html/id/386/Scalable-semantic-analytics-on-social-networks-for-addressing-the-problem-of-conflict-of-interest-detection', u'http://ebiquity.umbc.edu/paper/html/id/386/Scalable-semantic-analytics-on-social-networks-for-addressing-the-problem-of-conflict-of-interest-detection', u'http://ebiquity.umbc.edu/paper/html/id/386/Scalable-semantic-analytics-on-social-networks-for-addressing-the-problem-of-conflict-of-interest-detection', u'http://ebiquity.umbc.edu/paper/html/id/386/Scalable-semantic-analytics-on-social-networks-for-addressing-the-problem-of-conflict-of-interest-detection', u'http://ebiquity.umbc.edu/paper/html/id/386/Scalable-semantic-analytics-on-social-networks-for-addressing-the-problem-of-conflict-of-interest-detection', u'http://ebiquity.umbc.edu/paper/html/id/386/Scalable-semantic-analytics-on-social-networks-for-addressing-the-problem-of-conflict-of-interest-detection', u'http://nl.dbpedia.org/resource/ACM_Transactions_on_the_Web', u'http://www.wikidata.org/entity/Q2750226', u'http://www.wikidata.org/entity/Q2750226']"
ACS Applied Materials and Interfaces,1944-8244,1944-8252,2,1,Tekn - Kjemisk teknologi,1594,0,0.0,0.0,[]
American Journal of Law & Medicine,0098-8588,,2,1,Rettsvitenskap,2991,14,0.0,14.0,"[u'http://ld.zdb-services.de/resource/2052588-6', u'http://lobid.org/resource/ZDB753043-2', u'http://lod.hebis.de/resource/09943462', u'http://rae2001.rkbexplorer.com/id/resource-Journal-american_journal_of_law_&_medicine:2000', u'http://ld.zdb-services.de/resource/753043-2', u'http://eprints.rkbexplorer.com/id/lse/journal-42fa900e31eabaa795703efae0a1158d', u'http://rae2001.rkbexplorer.com/id/resource-Journal-american_journal_of_law_&_medicine:2000', u'http://lobid.org/resource/ZDB2052588-6', u'http://lod.hebis.de/resource/06661272', u'http://lod.hebis.de/resource/06661272', u'http://lod.hebis.de/resource/09943462', u'http://lobid.org/resource/ZDB753043-2', u'http://lobid.org/resource/ZDB2052588-6', u'http://lodlaundromat.org/.well-known/genid/971c555b023ea8eeb72703077d59ce81#13983600']"
American Law and Economics Review,1465-7252,1465-7260,2,1,Rettsvitenskap,3545,30,7.0,30.0,"[u'http://ld.zdb-services.de/resource/1480678-2', u'http://aler.oxfordjournals.org/', u'http://wikidata.dbpedia.org/resource/Q15746666', u'http://wikidata.dbpedia.org/resource/Q15746666', u'http://wikidata.dbpedia.org/resource/Q15746666', u'http://www.wikidata.org/entity/Q15746666', u'http://www.wikidata.org/entity/Q15746666', u'http://lod.hebis.de/resource/07917355', u'http://lod.hebis.de/resource/07237600', u'http://ld.zdb-services.de/resource/1473599-4', u'http://eprints.rkbexplorer.com/id/lse/journal-2a593b19b29a7ad16f47e8ae2b8ead53', u'http://wikidata.dbpedia.org/resource/Q15746666', u'http://era.rkbexplorer.com/id/ERAID-18316', u'http://www.wikidata.org/entity/Q15746666S5C1A8227-B81E-462F-B09D-FDC7AA7985AC', u'http://lobid.org/resource/ZDB1480678-2', u'http://www.wikidata.org/entity/Q15746666', u'http://www.wikidata.org/entity/Q15746666', u'http://www.wikidata.org/entity/Q15746666', u'http://lod.hebis.de/resource/07917355', u'http://wikidata.dbpedia.org/resource/Q15746666']"
American Society of Nephrology. Clinical Journal,1555-9041,1555-905X,1,2,Med - Nefrologi,3827,2,1.0,2.0,"[u'http://wikidata.dbpedia.org/resource/Q15757929', u'http://www.wikidata.org/entity/Q15757929']"
American University International Law Review,1520-460X,,2,1,Rettsvitenskap,2864,88,12.0,88.0,"[u'http://rae2001.rkbexplorer.com/id/resource-Journal-american_university_international_law_review:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-american_university_international_law_review:1999', u'http://wikidata.dbpedia.org/resource/Q15753137', u'http://dbpedia.org/resource/American_University_International_Law_Review', u'http://wikidata.dbpedia.org/resource/Q15753137', u'http://era.rkbexplorer.com/id/ERAID-33078', u'http://lobid.org/resource/HT006809863', u'http://lobid.org/resource/HT012937932', u'http://lobid.org/resource/HT012908414', u'http://lobid.org/resource/HT006809865', u'http://lobid.org/resource/HT008741806', u'http://lobid.org/resource/HT006809858', u'http://lobid.org/resource/HT014827004', u'http://lobid.org/resource/HT006809861', u'http://lod.hebis.de/resource/06696039', u'http://lod.hebis.de/resource/06696039', u'http://www.wikidata.org/entity/Q15753137', u'http://www.wikidata.org/entity/Q15753137', u'http://www.wikidata.org/entity/Q15753137', u'http://lod.hebis.de/resource/12290742']"
Annals of the Association of American Geographers,0004-5608,1467-8306,2,1,Geografi,3505,451,37.0,100.0,"[u'http://ld.zdb-services.de/resource/329-3', u'http://ld.zdb-services.de/resource/1482449-8', u'http://dbpedia.org/resource/Sijilmasa', u'http://dbpedia.org/resource/Classic_Maya_collapse', u'http://dbpedia.org/resource/Physiographic_regions_of_the_world', u'http://www.hero.ac.uk/rae/#Journal-annals_of_the_association_of_american_geographers:1997', u'http://www.hero.ac.uk/rae/#Journal-annals_of_the_association_of_american_geographers:2000', u'http://eprints.rkbexplorer.com/id/ucl/journal-2fae4b7c9b740646f6ee5d0f747561b7', u'http://www.hero.ac.uk/rae/#Journal-annals_of_the_association_of_american_geographers:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-annals_of_the_association_of_american_geographers:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-annals_of_the_association_of_american_geographers:1996', u'http://www.hero.ac.uk/rae/#Journal-annals_of_the_association_of_american_geographers:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-annals_of_the_association_of_american_geographers:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-annals_of_the_association_of_american_geographers:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-annals_of_the_association_of_american_geographers:1998', u'http://de.dbpedia.org/resource/Physiographische_Regionen_der_Erde_nach_Fenneman', u'http://mk.dbpedia.org/resource/\u0428\u043f\u0430\u043d\u0441\u043a\u043e_\u043e\u0441\u0432\u043e\u0458\u0443\u0432\u0430\u045a\u0435_\u043d\u0430_\u0418\u043c\u043f\u0435\u0440\u0438\u0458\u0430\u0442\u0430_\u043d\u0430_\u0418\u043d\u043a\u0438\u0442\u0435', u'http://pt.dbpedia.org/resource/Sijilmassa', u'http://dbpedia.org/resource/Spanish_conquest_of_the_Inca_Empire', u'http://wikidata.dbpedia.org/resource/Q15753179']"
Annual Review of Materials Research,0084-6600,,2,1,Tekn - Materialteknologi,3010,48,15.0,48.0,"[u'http://eprints.rkbexplorer.com/id/journal-abd89a4f7e9fa0bbfd4a5c0859271ddd', u'http://dbpedia.org/resource/Annual_Review_of_Materials_Research', u'http://wikidata.dbpedia.org/resource/Q15752164', u'http://dbpedia.org/resource/Annual_Review_of_Materials_Research', u'http://wikidata.dbpedia.org/resource/Q15752164', u'http://lobid.org/resource/ZDB2095575-3', u'http://www.wikidata.org/entity/Q15752164', u'http://www.wikidata.org/entity/Q15752164', u'http://eprints.soton.ac.uk/id/publication/ext-15317331', u'http://dbpedia.org/resource/Annual_Review_of_Materials_Research', u'http://dbpedia.org/resource/Annual_Review_of_Materials_Research', u'http://ld.zdb-services.de/resource/2095575-3', u'http://ld.zdb-services.de/resource/2059154-8', u'http://dbpedia.org/resource/Annual_Review_of_Materials_Research', u'http://dbpedia.org/resource/Annual_Review_of_Materials_Research', u'http://wikidata.dbpedia.org/resource/Q15752164', u'http://wikidata.dbpedia.org/resource/Q15752164', u'http://wikidata.dbpedia.org/resource/Q15752164', u'http://era.rkbexplorer.com/id/ERAID-4868', u'http://dbpedia.org/class/yago/AnnuAlReviews(puBlisher)']"
