@nalyses,-,1715-9261,https://uottawa.scholarsportal.info/ojs/index.php/revue-analyses/index,1,Romansk
"3L: Language, Linguistics, Literature",0128-5157,-,http://www.ukm.my/ppbl/3L/3LHome.html,0,Engelsk
ACT Zeitschrift fÌ_r Musik und Performance,-,2191-253X,http://www.act.uni-bayreuth.de/de/index.html,1,Musikkvitenskap
Administra?ie ?i management public,1583-9583,-,http://www.ramp.ase.ro/en/index.php?pageid=1,1,Statsvitenskap
Advanced Healthcare Materials,2192-2640,2192-2659,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2192-2659,1,Med - Biomedisin
Advances in Mental Health and Intellectual Disabilities,2044-1282,2044-1290,http://www.emeraldinsight.com/journal/amhid,1,Med - Psykiatri
Agrolife Scientific Journal,2285-5718,2286-0126,http://agrolifejournal.usamv.ro,1,Biologi
Annual Review of Pathology,1553-4006,1553-4014,http://www.annualreviews.org/loi/pathmechdis,1,Med - Generelle tidsskr
Antimicrobial Resistance and Infection Control,-,2047-2994,http://www.aricjournal.com/,1,Med - Infeksjoner
Antiquitates Mathematicae,-,2353-8813,http://wydawnictwa.ptm.org.pl/index.php/antiquitates-mathematicae,1,Matematikk
Applied Computing and Informatics,-,2210-8327,http://www.journals.elsevier.com/applied-computing-and-informatics/,1,Tekn - Datateknikk og datavitenskap
Applied Geophysics,1672-7975,1993-0658,http://yydqwl.periodicals.net.cn/default.html,1,Geofag
Archaeology International,1463-1725,2048-4194,http://www.ai-journal.com/,1,Arkeologi og konservering
Arts and Social Sciences Journal,-,2151-6200,http://astonjournals.com/assj,1,Tverrfaglig samfunnsforskning
Asian Journal of Peacebuilding,2288-2693,2288-2707,http://tongil.snu.ac.kr/xe/ajp,1,Statsvitenskap
Aussiger BeitrÌ_ge,1802-6419,-,http://ff.ujep.cz/index.php/aussiger-beitraege,1,Tysk og nederlandsk
Bata Press,[forlag],[forlag],http://batapress.mk/,0,Blandet fag/disiplin
Big Data and Society,-,2053-9517,http://2053-9517,1,Tverrfaglig samfunnsforskning
BioInvasions Record,-,2242-1300,http://www.reabic.net/journals/bir/Default.aspx,1,Biologi
Biology (Basel),-,2079-7737,http://www.mdpi.com/journal/biology,1,Biologi
Biomedical Journal,2319-4170,-,http://www.biomedj.org/,1,Med - Biomedisin
Biotechnology Reports,-,2215-017X,http://www.journals.elsevier.com/biotechnology-reports,1,Tekn - Bioteknologi
Bloomsbury Academic,[forlag],[forlag],http://www.bloomsburyacademic.com/,1,Blandet fag/disiplin
BNAM,2245-4365,-,http://www.d-a-s.dk/,0,Fysikk
Breast Cancer: Targets and Therapy,-,1179-1314,http://www.dovepress.com/breast-cancer---targets-and-therapy-journal,1,Med - Onkologi
"British Journal of Education, Society & Behavioural Science",-,2278-0998,http://www.sciencedomain.org/journal-home.php?id=21,1,Pedagogikk og utdanning
Bulletin de l'Institut FranÌ¤ais d'ArchÌ©ologie Orientale du Caire,0255-0962,-,http://www.ifao.egnet.net/publications/catalogue/BIFAO/,1,Asiatiske og afrikanske studier
Cahiers Critiques de Therapie Familiale et de Pratiques de Reseaux,1372-8202,1782-1398,http://www.cairn.info/revue-cahiers-critiques-de-therapie-familiale.htm,1,Psykologi
Cambridge Scholars Publishing,[forlag],[forlag],http://www.c-s-p.org,1,Blandet fag/disiplin
"CaTaC, Culture, Technology, and Communication",[forlag],[forlag],http://www.catacconference.org,0,Blandet fag/disiplin
"CENICS ... the ... International Conference on Advances in Circuits, Electronics and Micro-electronics",-,2308-426X,http://www.thinkmind.org/index.php?view=event&event=CENICS,1,Tekn - Elektronikk og kybernetikk
China Foundry,1672-6421,-,http://www.foundryworld.com/english/foundry/index.asp?leib=2,1,Tekn - Materialteknologi
Choreographic Practices,2040-5669,2040-5677,"http://www.intellectbooks.co.uk/journals/view-Journal,id=170/",1,Dans
Climate of the Past Discussions,1814-9340,1814-9359,http://www.clim-past-discuss.net/papers_in_open_discussion.html,0,Geofag
Cogent Arts and Humanities,-,2331-1983,http://cogentoa.tandfonline.com/journal/oaah20,1,Tverrfaglig humanistisk forskning
Communication & Sport,2167-4795,2167-4809,http://com.sagepub.com/,1,Medier og kommunikasjon
Comprehensive Analytical Chemistry,0166-526X,1875-788X,http://www.elsevier.com/books/book-series/comprehensive-analytical-chemistry,1,Kjemi
Contabilitate ?i informatic? de gestiune,1583-4387,-,http://cig.ase.ro/revista_cig/,1,Tverrfaglig samfunnsforskning
Contemporary Journal of African Studies,-,2343-6530,http://www.ajol.info/index.php/contjas,1,Asiatiske og afrikanske studier
Contemporary Journal of Anthropology and Sociology,-,2159-0508,http://ask.anthroniche.com/journal.html,1,Sosialantropologi
Critical Military Studies,2333-7486,2333-7494,http://www.tandfonline.com/loi/rcms20,0,Statsvitenskap
Critical Studies in Teaching and Learning,-,2310-7103,http://cristal.epubs.ac.za,1,Pedagogikk og utdanning
Critical Ultrasound Journal,2036-3176,2036-7902,http://www.criticalultrasoundjournal.com/,1,Med - Radiol og bildediagn
Cuadernos de Psicologia del Deporte,1578-8423,1989-5879,http://revistas.um.es/cpd/index,1,Idrettsforskning
Culture et MusÌ©es,1766-2923,2111-4528,http://www.univ-avignon.fr/fr/documentation/culture-et-musees.html,1,Kulturvitenskap
Current Opinion in Food Science,2214-7993,-,http://www.current-opinion.com/journals/current-opinion-in-food-science/,1,Biologi
DAIMI PB,0105-8517,2245-9316,http://ojs.statsbiblioteket.dk/index.php/daimipb/index,0,Tekn - Datateknikk og datavitenskap
De Ethica,-,2001-8819,http://www.de-ethica.com/default.asp,1,Filosofi og idÌ©historie
Defence Technology,-,2214-9147,http://www.journals.elsevier.com/defence-technology/,1,Tekn - Tverrfaglighet
Dialogue in praxis,-,2232-3953,http://www.dialogueinpraxis.net,0,Sosiologi
Disability Studies in Education,1548-7210,-,http://www.peterlang.com/index.cfm?event=cmp.ccc.seitenstruktur.detailseiten&seitentyp=series&pk=1348&concordeid=DS,1,Pedagogikk og utdanning
Disputatio (Madrid),-,2254-0601,http://disputatio.eu/,1,Filosofi og idÌ©historie
Dotawo,-,2373-2571,http://digitalcommons.fairfield.edu/djns/,0,Tverrfaglig humanistisk forskning
Editura Cetatea de Scaun,[forlag],[forlag],http://www.cetateadescaun.ro/en,1,Blandet fag/disiplin
Educacao & Realidade,0100-3143,2175-6236,http://seer.ufrgs.br/index.php/educacaoerealidade/index,1,Pedagogikk og utdanning
Eesti ja soome-ugri keeleteaduse ajakiri,1736-8987,2228-1339,http://jeful.ut.ee/index.php/JEFUL,1,Lingvistikk
Electrocatalysis,1868-2529,1868-5994,http://www.springer.com/chemistry/electrochemistry/journal/12678,1,Kjemi
