Westerborkpad,AmsterdamviaWesterborkpadroute,waypoint,MON
Herinneringscentrum Kamp Westerbork,AmsterdamviaWesterborkpadroute,waypoint,MON
De 9 straatjes,AmsterdamviaWesterborkpadroute,waypoint,MON
Hermitage,AmsterdamviaWesterborkpadroute,waypoint,MON
Joods Historisch Museum,AmsterdamviaWesterborkpadroute,waypoint,MON
Dokwerker,AmsterdamviaWesterborkpadroute,waypoint,MON
Jonas Daniël Meijerplein,AmsterdamviaWesterborkpadroute,waypoint,LOC
Joodse wijk,AmsterdamviaWesterborkpadroute,waypoint,LOC
Spiegelmonument,AmsterdamviaWesterborkpadroute,waypoint,MON
Hollandsche Schouwburg,AmsterdamviaWesterborkpadroute,waypoint,MON
Transvaalplein,AmsterdamviaWesterborkpadroute,waypoint,LOC
Muiderpoortstation,AmsterdamviaWesterborkpadroute,waypoint,LOC
Jan Dokter,AmsterdamviaWesterborkpadroute,in text ,PER
Amsterdam,AmsterdamviaWesterborkpadroute,in text,LOC
kamp Westerbork,AmsterdamviaWesterborkpadroute,in text,LOC
Duitsland,AmsterdamviaWesterborkpadroute,in text,LOC
Oostenrijk,AmsterdamviaWesterborkpadroute,in text,LOC
Auschwitz,AmsterdamviaWesterborkpadroute,in text,LOC
Sobibor,AmsterdamviaWesterborkpadroute,in text,LOC
Joden,AmsterdamviaWesterborkpadroute,in text,PER
Nederland,AmsterdamviaWesterborkpadroute,in text,LOC
Roma,AmsterdamviaWesterborkpadroute,in text,PER
Sinti,AmsterdamviaWesterborkpadroute,in text,PER
NS-station Amsterdam Centraal,AmsterdamviaWesterborkpadroute,in text,LOC
Stationsplein,AmsterdamviaWesterborkpadroute,in text,LOC
Fietsenstalling,AmsterdamviaWesterborkpadroute,in text,LOC
Singel,AmsterdamviaWesterborkpadroute,in text,LOC
Brouwersgracht,AmsterdamviaWesterborkpadroute,in text,LOC
Melkmeisjesbrug,AmsterdamviaWesterborkpadroute,in text ,LOC
Herengracht,AmsterdamviaWesterborkpadroute,in text,LOC
Herenstraat,AmsterdamviaWesterborkpadroute,in text,LOC
Keizersgracht,AmsterdamviaWesterborkpadroute,in text,LOC
Leliegracht,AmsterdamviaWesterborkpadroute,in text,LOC
Prinsengracht,AmsterdamviaWesterborkpadroute,in text,LOC
Anne Frankhuis,AmsterdamviaWesterborkpadroute,in text,MON
Westermarkt,AmsterdamviaWesterborkpadroute,in text,LOC
Reestraat,AmsterdamviaWesterborkpadroute,in text,LOC
Gouden Eeuw,AmsterdamviaWesterborkpadroute,in text,TIME
Wolvenstraat ,AmsterdamviaWesterborkpadroute,in text,LOC
Koningsplein,AmsterdamviaWesterborkpadroute,in text,LOC
Vijzelstraat ,AmsterdamviaWesterborkpadroute,in text,LOC
Thorbeckeplein,AmsterdamviaWesterborkpadroute,in text,LOC
Rembrandtplein,AmsterdamviaWesterborkpadroute,in text,LOC
Bakkersstraat,AmsterdamviaWesterborkpadroute,in text,LOC
Amstel,AmsterdamviaWesterborkpadroute,in text ,LOC
Halvemaansbrug,AmsterdamviaWesterborkpadroute,in text,LOC
Kloveniersburgwal,AmsterdamviaWesterborkpadroute,in text,LOC
Staalstraat ,AmsterdamviaWesterborkpadroute,in text,LOC
B. Bijvoetbrug,AmsterdamviaWesterborkpadroute,in text,LOC
Stopera,AmsterdamviaWesterborkpadroute,in text,LOC
Waterlooplein,AmsterdamviaWesterborkpadroute,in text,LOC
Walter Süskindbrug,AmsterdamviaWesterborkpadroute,in text,LOC
Nieuwe Herengracht,AmsterdamviaWesterborkpadroute,in text,LOC
Barent Helleman,AmsterdamviaWesterborkpadroute,in text,PER
Diaconie,AmsterdamviaWesterborkpadroute,in text,ORG
Diaconie Oude Vrouwen Huys anno 1681,AmsterdamviaWesterborkpadroute,in text,MON
Amstelhof,AmsterdamviaWesterborkpadroute,in text,MON
Hermitage Museum,AmsterdamviaWesterborkpadroute,in text,MON
Russische Hermitage,AmsterdamviaWesterborkpadroute,in text,MON
Amstelzijde 51,AmsterdamviaWesterborkpadroute,in text,LOC
M.S. Vas Diasbrug,AmsterdamviaWesterborkpadroute,in text ,LOC
J.D. Meijerplein,AmsterdamviaWesterborkpadroute,in text,LOC
Tweede Wereldoorlog,AmsterdamviaWesterborkpadroute,in text,EVENT
Mr. Visserplein,AmsterdamviaWesterborkpadroute,in text,LOC
Portugese Synagoge,AmsterdamviaWesterborkpadroute,in text,MON
kamp Schoorl,AmsterdamviaWesterborkpadroute,in text,LOC
Buchenwald,AmsterdamviaWesterborkpadroute,in text,LOC
Mauthausen,AmsterdamviaWesterborkpadroute,in text,LOC
Jodenvervolging,AmsterdamviaWesterborkpadroute,in text,CONCEPT
Februaristaking,AmsterdamviaWesterborkpadroute,in text,EVENT
Mari Andriessen,AmsterdamviaWesterborkpadroute,in text,PER
Spanje,AmsterdamviaWesterborkpadroute,in text,LOC
Portugal,AmsterdamviaWesterborkpadroute,in text,LOC
Jodenbreestraat,AmsterdamviaWesterborkpadroute,in text,LOC
Centraal-Europese Joden,AmsterdamviaWesterborkpadroute,in text,PER
Plantage,AmsterdamviaWesterborkpadroute,in text,LOC
Transvaal- en Rivierenbuurt,AmsterdamviaWesterborkpadroute,in text ,LOC
Sjoa (Holocaust),AmsterdamviaWesterborkpadroute,in text,EVENT
Jodenhoek,AmsterdamviaWesterborkpadroute,in text,LOC
Muiderstraat ,AmsterdamviaWesterborkpadroute,in text,LOC
Hortus Botanicus,AmsterdamviaWesterborkpadroute,in text,MON
Plantage Parklaan,AmsterdamviaWesterborkpadroute,in text,LOC
Plantage Middenlaan,AmsterdamviaWesterborkpadroute,in text,LOC
Wertheimpark,AmsterdamviaWesterborkpadroute,in text,LOC
Jan Wolkers,AmsterdamviaWesterborkpadroute,in text,PER
Oosterbegraafplaats,AmsterdamviaWesterborkpadroute,in text,LOC
Henri Polaklaan,AmsterdamviaWesterborkpadroute,in text,LOC
Plantage Kerklaan,AmsterdamviaWesterborkpadroute,in text,LOC
Heijermans,AmsterdamviaWesterborkpadroute,in text,PER
Joodsche Schouwburg,AmsterdamviaWesterborkpadroute,in text,MON
Vught,AmsterdamviaWesterborkpadroute,in text,LOC
Sint Jacob verzorgingstehuis,AmsterdamviaWesterborkpadroute,in text,MON
Sarphatistraat,AmsterdamviaWesterborkpadroute,in text ,LOC
Mauritskade,AmsterdamviaWesterborkpadroute,in text,LOC
Kon. Instituut voor de Tropen,AmsterdamviaWesterborkpadroute,in text,MON
Linnaeusstraat,AmsterdamviaWesterborkpadroute,in text,LOC
Wijtenbachstraat,AmsterdamviaWesterborkpadroute,in text,LOC
Oosterpark,AmsterdamviaWesterborkpadroute,in text,LOC
Onze Lieve Vrouwe Gasthuis,AmsterdamviaWesterborkpadroute,in text,MON
Beukenweg,AmsterdamviaWesterborkpadroute,in text,LOC
Beukenplein,AmsterdamviaWesterborkpadroute,in text,LOC
Maritzstraat,AmsterdamviaWesterborkpadroute,in text,LOC
Krugerplein,AmsterdamviaWesterborkpadroute,in text,LOC
Schalk Burgerstraat,AmsterdamviaWesterborkpadroute,in text,LOC
Transvaalstraat,AmsterdamviaWesterborkpadroute,in text,LOC
Judenviertel,AmsterdamviaWesterborkpadroute,in text,LOC
Davidster,AmsterdamviaWesterborkpadroute,in text,CONCEPT
Tramlijn 8,AmsterdamviaWesterborkpadroute,in text,CONCEPT
Paardekraalstraat,AmsterdamviaWesterborkpadroute,in text,LOC
Pretoriusstraat,AmsterdamviaWesterborkpadroute,in text,LOC
Oetewalerpad,AmsterdamviaWesterborkpadroute,in text,LOC
Oosterspoorplein,AmsterdamviaWesterborkpadroute,in text,LOC
