Nederlandse Defensie Academie,MastbosBredaroute,waypoint,MON,
Kasteel van Breda,MastbosBredaroute,waypoint,MON,
Hirdesbrug,MastbosBredaroute,waypoint,MON,
Het Mastbos,MastbosBredaroute,waypoint,MON,
Nassauverleden,MastbosBredaroute,waypoint,TIME,
Kasteel Bouvigne,MastbosBredaroute,waypoint,MON,
Ginneken,MastbosBredaroute,waypoint,AREA,
Grote of Onze Lieve Vrouwekerk,MastbosBredaroute,waypoint,MON,
station Breda,MastbosBredaroute,in text,LOC,
Stationslaan,MastbosBredaroute,in text,LOC,
Willemstraat,MastbosBredaroute,in text,LOC,
Academiesingel,MastbosBredaroute,in text,LOC,
Valkenbergpark,MastbosBredaroute,in text,MON,
Nieuwe Prinsenkade,MastbosBredaroute,in text,LOC,
Engelbrecht van Nassau,MastbosBredaroute,in text,PER,
Hendrik III van Nassau,MastbosBredaroute,in text,PER,
Willem van Oranje,MastbosBredaroute,in text,PER,
Prins Filips Willem,MastbosBredaroute,in text,PER,
Breda,MastbosBredaroute,in text,LOC,
Prins Maurits,MastbosBredaroute,in text,PER,
Spanjaarden,MastbosBredaroute,in text,PER,
Granaat- en Duiventoren,MastbosBredaroute,in text,MON,
Spanjaardsgat,MastbosBredaroute,in text,MON,
VVV Breda,MastbosBredaroute,in text,ORG,
Haven,MastbosBredaroute,in text,LOC,
Tolbrugstraat,MastbosBredaroute,in text,LOC,
Nieuweweg,MastbosBredaroute,in text,LOC,
Markendaalseweg,MastbosBredaroute,in text,LOC,
Marksingel,MastbosBredaroute,in text,LOC,
L.A. Hirdes,MastbosBredaroute,in text,PER,
Mark,MastbosBredaroute,in text,LOC,(this is a river)
F. van Seegeren,MastbosBredaroute,in text,PER,
Generaal van der Plaatstraat,MastbosBredaroute,in text,LOC,
Julianalaan,MastbosBredaroute,in text,LOC,
Michiel de Ruyterstraat,MastbosBredaroute,in text,LOC,
Baronielaan,MastbosBredaroute,in text,LOC,
Johan Willem Frisolaan,MastbosBredaroute,in text,LOC,
Van der Borchlaan,MastbosBredaroute,in text,LOC,
Werfstraat,MastbosBredaroute,in text,LOC,
Hotel Mastbosch,MastbosBredaroute,in text,MON,
Staatsbosbeheer,MastbosBredaroute,in text,ORG,
Bouvignedreef,MastbosBredaroute,in text,LOC,
Bouvignelaan,MastbosBredaroute,in text,LOC,
Vrijlandtbrug,MastbosBredaroute,in text,LOC,
Café Restaurant De Boschwachter,MastbosBredaroute,in text,LOC,
Graaf Hendrik III van Nassau,MastbosBredaroute,in text,PER,(same as 16)
Willem III van Oranje,MastbosBredaroute,in text,PER,(same as 17?)
de Nassaus,MastbosBredaroute,in text,PER,
Galderseweg,MastbosBredaroute,in text,LOC,
Reeptiend,MastbosBredaroute,in text,LOC,
horecagelegenheid De Kogelvanger,MastbosBredaroute,in text,LOC,
Grenslandpad,MastbosBredaroute,in text,LOC,
grondgebied De Boeverie,MastbosBredaroute,in text,AREA,
Landgoed Boeverie,MastbosBredaroute,in text,AREA,
Prinsen van Oranje,MastbosBredaroute,in text,PER,
Vereniging van Catechisten,MastbosBredaroute,in text,ORG,
Brabantse Delta,MastbosBredaroute,in text,ORG,
Raadhuisstraat,MastbosBredaroute,in text,LOC,
Ginnekenmarkt,MastbosBredaroute,in text,LOC,
Ginnekenweg,MastbosBredaroute,in text,LOC,
Wilhelminastraat,MastbosBredaroute,in text,LOC,
Nieuwe Ginnekenstraat,MastbosBredaroute,in text,LOC,
Van Coothplein,MastbosBredaroute,in text,LOC,
Vierwindenstraat,MastbosBredaroute,in text,LOC,
Het Bolwerk,MastbosBredaroute,in text,LOC,
Nonnenveld,MastbosBredaroute,in text,LOC,
Oude Vest,MastbosBredaroute,in text,LOC,
Molenstraat,MastbosBredaroute,in text,LOC,
Sint Annastraat,MastbosBredaroute,in text,LOC,
Willem Merkxtuin,MastbosBredaroute,in text,MON,
Turfschipper van Breda,MastbosBredaroute,in text,MON,
Grote Markt,MastbosBredaroute,in text,LOC,
Grote Kerk,MastbosBredaroute,in text,MON,
Nederland,MastbosBredaroute,in text,LOC,
Beeldenstorm,MastbosBredaroute,in text,EVENT,
Tachtigjarige Oorlog,MastbosBredaroute,in text,EVENT,
Delft,MastbosBredaroute,in text,LOC,
Reigerstraat,MastbosBredaroute,in text,LOC,
Begijnhof,MastbosBredaroute,in text,MON,
