Literal,Source,Part of the text,Entity type,ES Time elapsed,# ES Hits
Nederlandse Defensie Academie,MastbosBredaroute,waypoint,MON,4,46
Kasteel van Breda,MastbosBredaroute,waypoint,MON,4,113
Hirdesbrug,MastbosBredaroute,waypoint,MON,2,13
Het Mastbos,MastbosBredaroute,waypoint,MON,2,40
Nassauverleden,MastbosBredaroute,waypoint,TIME,1,0
Kasteel Bouvigne,MastbosBredaroute,waypoint,MON,3,44
Ginneken,MastbosBredaroute,waypoint,AREA,2,1150
Grote of Onze Lieve Vrouwekerk,MastbosBredaroute,waypoint,MON,10,259
station Breda,MastbosBredaroute,in text,LOC,14,108
Stationslaan,MastbosBredaroute,in text,LOC,2,247
Willemstraat,MastbosBredaroute,in text,LOC,1,291
Academiesingel,MastbosBredaroute,in text,LOC,1,16
Valkenbergpark,MastbosBredaroute,in text,MON,1,0
Nieuwe Prinsenkade,MastbosBredaroute,in text,LOC,2,1
Engelbrecht van Nassau,MastbosBredaroute,in text,PER,36,10
Hendrik III van Nassau,MastbosBredaroute,in text,PER,7,129
Willem van Oranje,MastbosBredaroute,in text,PER,9,2343
Prins Filips Willem,MastbosBredaroute,in text,PER,3,2
Breda,MastbosBredaroute,in text,LOC,3,59636
Prins Maurits,MastbosBredaroute,in text,PER,3,811
Spanjaarden,MastbosBredaroute,in text,PER,1,4359
Granaat- en Duiventoren,MastbosBredaroute,in text,MON,2,0
Spanjaardsgat,MastbosBredaroute,in text,MON,1,47
VVV Breda,MastbosBredaroute,in text,ORG,2,3
Haven,MastbosBredaroute,in text,LOC,9,261718
Tolbrugstraat,MastbosBredaroute,in text,LOC,1,52
Nieuweweg,MastbosBredaroute,in text,LOC,1,584
Markendaalseweg,MastbosBredaroute,in text,LOC,1,5
Marksingel,MastbosBredaroute,in text,LOC,1,7
L.A. Hirdes,MastbosBredaroute,in text,PER,1,0
Mark,MastbosBredaroute,in text,LOC,55,2123446
F. van Seegeren,MastbosBredaroute,in text,PER,2,0
Generaal van der Plaatstraat,MastbosBredaroute,in text,LOC,3,30
Julianalaan,MastbosBredaroute,in text,LOC,1,865
Michiel de Ruyterstraat,MastbosBredaroute,in text,LOC,3,35
Baronielaan,MastbosBredaroute,in text,LOC,1,147
Johan Willem Frisolaan,MastbosBredaroute,in text,LOC,2,37
Van der Borchlaan,MastbosBredaroute,in text,LOC,2,8
Werfstraat,MastbosBredaroute,in text,LOC,1,331
Hotel Mastbosch,MastbosBredaroute,in text,MON,3,3
Staatsbosbeheer,MastbosBredaroute,in text,ORG,1,1405
Bouvignedreef,MastbosBredaroute,in text,LOC,1,3
Bouvignelaan,MastbosBredaroute,in text,LOC,2,52
Vrijlandtbrug,MastbosBredaroute,in text,LOC,1,3
Café Restaurant De Boschwachter,MastbosBredaroute,in text,LOC,2,0
Graaf Hendrik III van Nassau,MastbosBredaroute,in text,PER,6,14
Willem III van Oranje,MastbosBredaroute,in text,PER,9,435
de Nassaus,MastbosBredaroute,in text,PER,4,32
Galderseweg,MastbosBredaroute,in text,LOC,2,105
Reeptiend,MastbosBredaroute,in text,LOC,1,11
horecagelegenheid De Kogelvanger,MastbosBredaroute,in text,LOC,2,0
Grenslandpad,MastbosBredaroute,in text,LOC,1,18
grondgebied De Boeverie,MastbosBredaroute,in text,AREA,2,0
Landgoed Boeverie,MastbosBredaroute,in text,AREA,2,0
Prinsen van Oranje,MastbosBredaroute,in text,PER,5,71
Vereniging van Catechisten,MastbosBredaroute,in text,ORG,2,0
Brabantse Delta,MastbosBredaroute,in text,ORG,4,51
Raadhuisstraat,MastbosBredaroute,in text,LOC,1,1559
Ginnekenmarkt,MastbosBredaroute,in text,LOC,1,79
Ginnekenweg,MastbosBredaroute,in text,LOC,1,152
Wilhelminastraat,MastbosBredaroute,in text,LOC,1,1386
Nieuwe Ginnekenstraat,MastbosBredaroute,in text,LOC,2,14
Van Coothplein,MastbosBredaroute,in text,LOC,2,41
Vierwindenstraat,MastbosBredaroute,in text,LOC,2,19
Het Bolwerk,MastbosBredaroute,in text,LOC,4,613
Nonnenveld,MastbosBredaroute,in text,LOC,1,34
Oude Vest,MastbosBredaroute,in text,LOC,4,477
Molenstraat,MastbosBredaroute,in text,LOC,2,8798
Sint Annastraat,MastbosBredaroute,in text,LOC,2,599
Willem Merkxtuin,MastbosBredaroute,in text,MON,1,15
Turfschipper van Breda,MastbosBredaroute,in text,MON,2,0
Grote Markt,MastbosBredaroute,in text,LOC,6,10133
Grote Kerk,MastbosBredaroute,in text,MON,5,2058
Nederland,MastbosBredaroute,in text,LOC,13,294285
Beeldenstorm,MastbosBredaroute,in text,EVENT,1,700
Tachtigjarige Oorlog,MastbosBredaroute,in text,EVENT,3,3479
Delft,MastbosBredaroute,in text,LOC,3,52193
Reigerstraat,MastbosBredaroute,in text,LOC,1,475
Begijnhof,MastbosBredaroute,in text,MON,2,4700
