Literal,Source,Part of the text,Entity type,ES Time elapsed,# ES Hits,DBpedia in first 100,100 or less,Hits
Nederlandse Defensie Academie,MastbosBredaroute,waypoint,MON,1881,461886,58.0,100.0,"[u'http://nl.dbpedia.org/resource/Categorie:Nederlandse_Defensie_Academie', u'http://lodlaundromat.org/.well-known/genid/3c38f5c76eac252d972c5404ed94f5a1#HT016442969BNode0', u'http://d-nb.info/gnd/6528092-1', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://www.wikidata.org/entity/Q1826903', u'http://nl.dbpedia.org/resource/Categorie:Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Categorie:Nederlandse_Defensie_Academie', u'http://lobid.org/resource/HT016442969', u'http://id.loc.gov/authorities/names/n2009000257', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://wikidata.dbpedia.org/resource/Q1826903', u'http://nl.dbpedia.org/resource/Categorie:Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://lobid.org/resource/HT016125923', u'http://lobid.org/resource/HT016040313']"
Kasteel van Breda,MastbosBredaroute,waypoint,MON,315,13543345,73.0,100.0,"[u'http://nl.dbpedia.org/resource/Kasteel_van_Breda', u'http://dbpedia.org/resource/Breda_Castle', u'http://wikidata.dbpedia.org/resource/Q1918354', u'http://nl.dbpedia.org/resource/Categorie:Kasteel_van_Breda', u'http://es.dbpedia.org/resource/Castillo_de_Breda', u'http://nl.dbpedia.org/resource/Categorie:Kasteel_van_Breda', u'http://sws.geonames.org/6950705/', u'http://www.wikidata.org/entity/Q1918354', u'http://dbpedia.org/resource/Breda_Castle', u'http://dbpedia.org/resource/Breda_Castle', u'http://sws.geonames.org/6950705/', u'http://linkedgeodata.org/triplify/node1154356593', u'http://nl.dbpedia.org/resource/Kasteel_van_Breda', u'http://dbpedia.org/resource/Breda_Castle', u'http://dbpedia.org/resource/Breda_Castle', u'http://nl.dbpedia.org/resource/Categorie:Kasteel_van_Breda', u'http://dbpedia.org/resource/Breda_Castle', u'http://dbpedia.org/resource/Breda_Castle', u'http://es.dbpedia.org/resource/Castillo_de_Breda', u'http://nl.dbpedia.org/resource/Categorie:Kasteel_van_Breda']"
Hirdesbrug,MastbosBredaroute,waypoint,MON,1,15,10.0,15.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__411', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__411', u'http://wikidata.dbpedia.org/resource/Q17595550', u'http://data.cultureelerfgoed.nl/id/9EE79358-3206-43D8-93A1-E6186B8A4753', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://data.cultureelerfgoed.nl/id/9EE79358-3206-43D8-93A1-E6186B8A4753', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__411', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__411', u'http://www.wikidata.org/entity/Q17595550', u'http://bag.kadaster.nl/id/openbareruimte/0758300000000628', u'http://www.wikidata.org/entity/Q17595550', u'http://wikidata.dbpedia.org/resource/Q17595550']"
Het Mastbos,MastbosBredaroute,waypoint,MON,105,7688378,65.0,100.0,"[u'http://sws.geonames.org/2751107/', u'http://sws.geonames.org/2751107/', u'http://de.dbpedia.org/resource/Mastbos', u'http://nl.dbpedia.org/resource/Mastbos', u'http://eunis.eea.europa.eu/sites/331973', u'http://eunis.eea.europa.eu/sites/331973', u'http://wikidata.dbpedia.org/resource/Q19339004', u'http://wikidata.dbpedia.org/resource/Q1907834', u'http://wikidata.dbpedia.org/resource/Q19339000', u'http://wikidata.dbpedia.org/resource/Q19339007', u'http://www.wikidata.org/entity/Q14856625', u'http://www.wikidata.org/entity/Q19339000', u'http://www.wikidata.org/entity/Q1907834', u'http://bag.kadaster.nl/id/openbareruimte/0034300000003340', u'http://bag.kadaster.nl/id/openbareruimte/0153300000201340', u'http://bag.kadaster.nl/id/openbareruimte/0363300000004282', u'http://bag.kadaster.nl/id/openbareruimte/0984300000000339', u'http://eunis.eea.europa.eu/sites/331973', u'http://purl.org/vocabularies/cornetto/synset-mastbos-1-noun', u'http://wikidata.dbpedia.org/resource/Q14856625']"
Nassauverleden,MastbosBredaroute,waypoint,TIME,1,0,0.0,0.0,[]
Kasteel Bouvigne,MastbosBredaroute,waypoint,MON,23,93790,67.0,100.0,"[u'http://nl.dbpedia.org/resource/Kasteel_Bouvigne', u'http://geowordnet.semanticmatching.org/3.0/wordsense-Kasteel_Bouvigne-noun-1', u'http://geowordnet.semanticmatching.org/3.0/synset-Kasteel_Bouvigne-noun-1', u'http://sws.geonames.org/2758511/', u'http://geowordnet.semanticmatching.org/3.0/word-Kasteel_Bouvigne', u'http://www.wikidata.org/entity/Q2360734', u'http://nl.dbpedia.org/resource/Kasteel_Bouvigne', u'http://wikidata.dbpedia.org/resource/Q2360734', u'http://geowordnet.semanticmatching.org/3.0/synset-Kasteel_Bouvigne-noun-1', u'http://sws.geonames.org/2758511/', u'http://sws.geonames.org/2758511/', u'http://lobid.org/resource/HT014224858', u'http://blog.seniorennet.nl/kastelen2008/archief.php?ID=12170', u'http://blog.seniorennet.nl/kastelen2008/archief.php?ID=12170', u'http://lobid.org/resource/HT014224858', u'http://lobid.org/resource/HT006415223', u'http://lobid.org/resource/HT014224858', u'http://lodlaundromat.org/.well-known/genid/e39ad81207dfb148ef2b7a41494c92c1#genid26httpx3Ax2Fx2Fdirkx78x2Ewebweavingx2Eorgx2Ffoafx2Erdf', u'http://wikidata.dbpedia.org/resource/Q18964546', u'http://www.wikidata.org/entity/Q18964542']"
Ginneken,MastbosBredaroute,waypoint,AREA,3,1629,73.0,100.0,"[u'http://vo.dbpedia.org/resource/Ginneken', u'http://nl.dbpedia.org/resource/Ginneken', u'http://de.dbpedia.org/resource/Ginneken', u'http://dbpedia.org/resource/David_Hendrik_Chass%C3%A9', u'http://dbpedia.org/resource/David_Hendrik_Chass%C3%A9', u'http://dbpedia.org/resource/Antoon_Verlegh', u'http://wikidata.dbpedia.org/resource/Q2625523', u'http://wikidata.dbpedia.org/resource/Q1525055', u'http://wikidata.dbpedia.org/resource/Q1525055', u'http://wikidata.dbpedia.org/resource/Q4573756', u'http://fr.dbpedia.org/resource/Ginneken', u'http://wikidata.dbpedia.org/resource/Q2625523', u'http://dbpedia.org/resource/David_Hendrik_Chass%C3%A9', u'http://fr.dbpedia.org/resource/Ginneken', u'http://dbpedia.org/resource/David_Hendrik_Chass%C3%A9', u'http://sws.geonames.org/2755498/', u'http://lodlaundromat.org/.well-known/genid/2ff4d8172fdf819a3063a2cb42ec7622#10047434', u'http://lodlaundromat.org/.well-known/genid/2ff4d8172fdf819a3063a2cb42ec7622#10180610', u'http://nl.dbpedia.org/resource/Ginneken', u'http://www.wikidata.org/entity/Q2728248']"
Grote of Onze Lieve Vrouwekerk,MastbosBredaroute,waypoint,MON,1973,181765410,89.0,100.0,"[u'http://nl.dbpedia.org/resource/Grote_of_Onze-Lieve-Vrouwekerk_(Dordrecht)', u'http://nl.dbpedia.org/resource/Grote_of_Onze-Lieve-Vrouwekerk_(Breda)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Tholen_(plaats)__Tholen__16', u'http://nl.dbpedia.org/resource/Grote_Kerk_(Veere)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__201', u'http://nl.dbpedia.org/resource/Grote_of_Onze-Lieve-Vrouwekerk', u'http://dbpedia.org/resource/Grote_kerk_(Breda)', u'http://dbpedia.org/resource/Grote_Kerk_(Breda)', u'http://dbpedia.org/resource/Grote_Kerk_(Breda)', u'http://wikidata.dbpedia.org/resource/Q2024749', u'http://wikidata.dbpedia.org/resource/Q1431827', u'http://fr.dbpedia.org/resource/Grote_of_Onze-Lieve-Vrouwekerk', u'http://wikidata.dbpedia.org/resource/Q17443185', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Tholen_(plaats)__Tholen__16', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Tholen_(plaats)', u'http://dbpedia.org/resource/Grote_Kerk_(Breda)', u'http://dbpedia.org/resource/Grote_kerk_(Breda)', u'http://dbpedia.org/resource/Grote_kerk_(Breda)', u'http://nl.dbpedia.org/resource/Grote_of_Onze-Lieve-Vrouwekerk_(Dordrecht)', u'http://www.wikidata.org/entity/Q2360900']"
station Breda,MastbosBredaroute,in text,LOC,207,6683227,74.0,100.0,"[u'http://nl.dbpedia.org/resource/Station_Breda', u'http://nl.dbpedia.org/resource/Station_Breda', u'http://wikidata.dbpedia.org/resource/Q800561', u'http://geowordnet.semanticmatching.org/3.0/wordsense-Station_Breda-noun-1', u'http://dbpedia.org/resource/Breda_railway_station', u'http://dbpedia.org/resource/Breda_railway_station', u'http://sws.geonames.org/6640012/', u'http://dbpedia.org/resource/Breda_railway_station', u'http://sws.geonames.org/6640012/', u'http://dbpedia.org/resource/Breda_railway_station', u'http://geowordnet.semanticmatching.org/3.0/synset-Station_Breda-noun-1', u'http://geowordnet.semanticmatching.org/3.0/synset-Station_Breda-noun-1', u'http://geowordnet.semanticmatching.org/3.0/word-Station_Breda', u'http://dbpedia.org/resource/Breda_railway_station', u'http://dbpedia.org/resource/Breda_Oost_railway_station', u'http://dbpedia.org/resource/Breda_Prinsenbeek_railway_station', u'http://dbpedia.org/resource/Breda_oost_railway_station', u'http://nl.dbpedia.org/resource/Station_Pontcharra-sur-Breda', u'http://dbpedia.org/resource/Breda_railway_station', u'http://sws.geonames.org/6640011/']"
Stationslaan,MastbosBredaroute,in text,LOC,6,330,66.0,100.0,"[u'http://fr.dbpedia.org/resource/Gare_de_Nieuport-Ville', u'http://wikidata.dbpedia.org/resource/Q19546772', u'http://wikidata.dbpedia.org/resource/Q19546775', u'http://wikidata.dbpedia.org/resource/Q19546778', u'http://wikidata.dbpedia.org/resource/Q19546781', u'http://wikidata.dbpedia.org/resource/Q19546784', u'http://wikidata.dbpedia.org/resource/Q19546788', u'http://wikidata.dbpedia.org/resource/Q19546790', u'http://bag.kadaster.nl/id/openbareruimte/1735300000000261', u'http://bag.kadaster.nl/id/openbareruimte/1731300000000152', u'http://bag.kadaster.nl/id/openbareruimte/1507302000000185', u'http://linkedgeodata.org/triplify/node47527588', u'http://bag.kadaster.nl/id/openbareruimte/0302300000000259', u'http://bag.kadaster.nl/id/openbareruimte/0867300000000114', u'http://bag.kadaster.nl/id/openbareruimte/0626300000000335', u'http://bag.kadaster.nl/id/openbareruimte/0758300000002481', u'http://bag.kadaster.nl/id/openbareruimte/0024300000144453', u'http://bag.kadaster.nl/id/openbareruimte/0243300001305447', u'http://linkedgeodata.org/triplify/node2902378269', u'http://linkedgeodata.org/triplify/node473381916']"
