Literal,Source,Part of the text,Entity type,ES Time elapsed,# ES Hits,DBpedia in first 100,100 or less,Hits
Nederlandse Defensie Academie,MastbosBredaroute,waypoint,MON,52,461886,76.0,100.0,"[u'http://nl.dbpedia.org/resource/Categorie:Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://www.wikidata.org/entity/Q1826903', u'http://nl.dbpedia.org/resource/Categorie:Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Categorie:Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://wikidata.dbpedia.org/resource/Q1826903', u'http://nl.dbpedia.org/resource/Categorie:Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://nl.dbpedia.org/resource/Nederlandse_Defensie_Academie', u'http://wikidata.dbpedia.org/resource/Q15863107', u'http://www.wikidata.org/entity/Q15863107', u'http://wikidata.dbpedia.org/resource/Q9062192', u'http://nl.dbpedia.org/resource/Nederlandse_ministerie_van_Defensie', u'http://nl.dbpedia.org/resource/Nederlandse_ministerie_van_Defensie', u'http://nl.dbpedia.org/resource/Walther_Ploos_van_Amstel']"
Kasteel van Breda,MastbosBredaroute,waypoint,MON,531,13543345,98.0,100.0,"[u'http://nl.dbpedia.org/resource/Kasteel_van_Breda', u'http://dbpedia.org/resource/Breda_Castle', u'http://wikidata.dbpedia.org/resource/Q1918354', u'http://nl.dbpedia.org/resource/Categorie:Kasteel_van_Breda', u'http://nl.dbpedia.org/resource/Categorie:Kasteel_van_Breda', u'http://www.wikidata.org/entity/Q1918354', u'http://dbpedia.org/resource/Breda_Castle', u'http://nl.dbpedia.org/resource/Kasteel_van_Breda', u'http://dbpedia.org/resource/Breda_Castle', u'http://dbpedia.org/resource/Breda_Castle', u'http://nl.dbpedia.org/resource/Categorie:Kasteel_van_Breda', u'http://dbpedia.org/resource/Breda_Castle', u'http://nl.dbpedia.org/resource/Categorie:Kasteel_van_Breda', u'http://nl.dbpedia.org/resource/Hofkapel_bij_het_Kasteel_van_Breda', u'http://www.wikidata.org/entity/Q2324807', u'http://nl.dbpedia.org/resource/Hofkapel_bij_het_Kasteel_van_Breda', u'http://wikidata.dbpedia.org/resource/Q2324807', u'http://dbpedia.org/resource/Breda_Castle', u'http://dbpedia.org/resource/Breda_Castle', u'http://nl.dbpedia.org/resource/Kasteel_van_Breda']"
Hirdesbrug,MastbosBredaroute,waypoint,MON,6,15,10.0,15.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__411', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__411', u'http://wikidata.dbpedia.org/resource/Q17595550', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__411', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__411', u'http://www.wikidata.org/entity/Q17595550', u'http://www.wikidata.org/entity/Q17595550', u'http://wikidata.dbpedia.org/resource/Q17595550', u'http://data.cultureelerfgoed.nl/id/9EE79358-3206-43D8-93A1-E6186B8A4753', u'http://data.cultureelerfgoed.nl/id/9EE79358-3206-43D8-93A1-E6186B8A4753', u'http://bag.kadaster.nl/id/openbareruimte/0758300000000628']"
Het Mastbos,MastbosBredaroute,waypoint,MON,281,7688378,70.0,100.0,"[u'http://purl.org/vocabularies/cornetto/synset-mastbos-1-noun', u'http://wikidata.dbpedia.org/resource/Q14856625', u'http://nl.dbpedia.org/resource/Mastbos', u'http://www.wikidata.org/entity/Q19338994', u'http://www.wikidata.org/entity/Q19339007', u'http://www.wikidata.org/entity/Q19339017', u'http://nl.dbpedia.org/resource/Mastbos', u'http://wikidata.dbpedia.org/resource/Q19339004', u'http://wikidata.dbpedia.org/resource/Q1907834', u'http://wikidata.dbpedia.org/resource/Q19339000', u'http://wikidata.dbpedia.org/resource/Q19339007', u'http://www.wikidata.org/entity/Q14856625', u'http://www.wikidata.org/entity/Q19339000', u'http://www.wikidata.org/entity/Q1907834', u'http://nl.dbpedia.org/resource/Mastbos', u'http://nl.dbpedia.org/resource/Mastbos', u'http://wikidata.dbpedia.org/resource/Q19338994', u'http://wikidata.dbpedia.org/resource/Q19338997', u'http://wikidata.dbpedia.org/resource/Q19339017', u'http://wikidata.dbpedia.org/resource/Q19339014']"
Nassauverleden,MastbosBredaroute,waypoint,TIME,7,0,0.0,0.0,[]
Kasteel Bouvigne,MastbosBredaroute,waypoint,MON,30,93790,82.0,100.0,"[u'http://nl.dbpedia.org/resource/Kasteel_Bouvigne', u'http://www.wikidata.org/entity/Q2360734', u'http://nl.dbpedia.org/resource/Kasteel_Bouvigne', u'http://wikidata.dbpedia.org/resource/Q2360734', u'http://wikidata.dbpedia.org/resource/Q18964546', u'http://www.wikidata.org/entity/Q18964542', u'http://www.wikidata.org/entity/Q18964544', u'http://www.wikidata.org/entity/Q18964548', u'http://wikidata.dbpedia.org/resource/Q18964544', u'http://wikidata.dbpedia.org/resource/Q18964548', u'http://wikidata.dbpedia.org/resource/Q18775666', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__242', u'http://www.wikidata.org/entity/Q18964546', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__242', u'http://wikidata.dbpedia.org/resource/Q18964542', u'http://wikidata.dbpedia.org/resource/Q18964547', u'http://www.wikidata.org/entity/Q18964547', u'http://www.wikidata.org/entity/Q18775666', u'http://geowordnet.semanticmatching.org/3.0/wordsense-Kasteel_Bouvigne-noun-1', u'http://geowordnet.semanticmatching.org/3.0/synset-Kasteel_Bouvigne-noun-1']"
Ginneken,MastbosBredaroute,waypoint,AREA,12,1629,82.0,100.0,"[u'http://nl.dbpedia.org/resource/Ginneken', u'http://wikidata.dbpedia.org/resource/Q2625523', u'http://wikidata.dbpedia.org/resource/Q1525055', u'http://wikidata.dbpedia.org/resource/Q4573756', u'http://nl.dbpedia.org/resource/Ginneken', u'http://www.wikidata.org/entity/Q2728248', u'http://www.wikidata.org/entity/Q2625523', u'http://www.wikidata.org/entity/Q1525055', u'http://www.wikidata.org/entity/Q2617503', u'http://nl.dbpedia.org/resource/Ginneken', u'http://nl.dbpedia.org/resource/Ginneken', u'http://wikidata.dbpedia.org/resource/Q2728248', u'http://standaarden.overheid.nl/owms/terms/Ginneken', u'http://nl.dbpedia.org/resource/Rijksbeschermd_gezicht_Ginneken', u'http://nl.dbpedia.org/resource/Joan_Hugo_van_Bolhuis', u'http://www.wikidata.org/entity/Q1896626', u'http://standaarden.overheid.nl/owms/terms/Ginneken', u'http://standaarden.overheid.nl/owms/terms/Ginneken', u'http://nl.dbpedia.org/resource/Ginneken', u'http://nl.dbpedia.org/resource/Ginneken']"
Grote of Onze Lieve Vrouwekerk,MastbosBredaroute,waypoint,MON,4215,181765410,94.0,100.0,"[u'http://nl.dbpedia.org/resource/Grote_of_Onze-Lieve-Vrouwekerk_(Dordrecht)', u'http://nl.dbpedia.org/resource/Grote_of_Onze-Lieve-Vrouwekerk_(Breda)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Tholen_(plaats)__Tholen__16', u'http://nl.dbpedia.org/resource/Grote_Kerk_(Veere)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Breda_(plaats)__Breda__201', u'http://nl.dbpedia.org/resource/Grote_of_Onze-Lieve-Vrouwekerk', u'http://dbpedia.org/resource/Grote_kerk_(Breda)', u'http://wikidata.dbpedia.org/resource/Q2024749', u'http://wikidata.dbpedia.org/resource/Q1431827', u'http://wikidata.dbpedia.org/resource/Q17443185', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Tholen_(plaats)__Tholen__16', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Tholen_(plaats)', u'http://dbpedia.org/resource/Grote_kerk_(Breda)', u'http://dbpedia.org/resource/Grote_kerk_(Breda)', u'http://nl.dbpedia.org/resource/Grote_of_Onze-Lieve-Vrouwekerk_(Dordrecht)', u'http://www.wikidata.org/entity/Q2360900', u'http://nl.dbpedia.org/resource/Grote_Kerk_(Veere)', u'http://nl.dbpedia.org/resource/Grote_of_Onze-Lieve-Vrouwekerk_(Breda)', u'http://dbpedia.org/resource/Grote_kerk_(Breda)', u'http://nl.dbpedia.org/resource/Grote_of_Onze-Lieve-Vrouwekerk_(Breda)']"
station Breda,MastbosBredaroute,in text,LOC,369,6683227,97.0,100.0,"[u'http://nl.dbpedia.org/resource/Station_Breda', u'http://nl.dbpedia.org/resource/Station_Breda', u'http://wikidata.dbpedia.org/resource/Q800561', u'http://dbpedia.org/resource/Breda_railway_station', u'http://dbpedia.org/resource/Breda_railway_station', u'http://dbpedia.org/resource/Breda_railway_station', u'http://dbpedia.org/resource/Breda_railway_station', u'http://dbpedia.org/resource/Breda_railway_station', u'http://nl.dbpedia.org/resource/Station_Pontcharra-sur-Breda', u'http://dbpedia.org/resource/Breda-Prinsenbeek_railway_station', u'http://dbpedia.org/resource/Breda-Prinsenbeek_railway_station', u'http://dbpedia.org/resource/Breda_Oost_railway_station', u'http://dbpedia.org/resource/Breda-Prinsenbeek_railway_station', u'http://nl.dbpedia.org/resource/Station_Breda-Prinsenbeek', u'http://nl.dbpedia.org/resource/Station_Pontcharra-sur-Breda', u'http://nl.dbpedia.org/resource/Station_Breda-Prinsenbeek', u'http://dbpedia.org/resource/Breda-Prinsenbeek_railway_station', u'http://dbpedia.org/resource/Breda_Oost_railway_station', u'http://nl.dbpedia.org/resource/Station_Breda_Prinsenbeek', u'http://nl.dbpedia.org/resource/Station_Breda_Prinsenbeek']"
Stationslaan,MastbosBredaroute,in text,LOC,10,330,100.0,100.0,"[u'http://wikidata.dbpedia.org/resource/Q19546772', u'http://wikidata.dbpedia.org/resource/Q19546775', u'http://wikidata.dbpedia.org/resource/Q19546778', u'http://wikidata.dbpedia.org/resource/Q19546781', u'http://wikidata.dbpedia.org/resource/Q19546784', u'http://wikidata.dbpedia.org/resource/Q19546788', u'http://wikidata.dbpedia.org/resource/Q19546790', u'http://wikidata.dbpedia.org/resource/Q19546768', u'http://wikidata.dbpedia.org/resource/Q19546770', u'http://wikidata.dbpedia.org/resource/Q19546773', u'http://wikidata.dbpedia.org/resource/Q19546776', u'http://wikidata.dbpedia.org/resource/Q19546777', u'http://wikidata.dbpedia.org/resource/Q19546782', u'http://wikidata.dbpedia.org/resource/Q19546785', u'http://wikidata.dbpedia.org/resource/Q19546789', u'http://wikidata.dbpedia.org/resource/Q19546771', u'http://wikidata.dbpedia.org/resource/Q19546780', u'http://wikidata.dbpedia.org/resource/Q19546783', u'http://wikidata.dbpedia.org/resource/Q19546774', u'http://wikidata.dbpedia.org/resource/Q19546787']"
