Literal,Source,Part of the text,Entity type,ES Time elapsed,# ES Hits,DBpedia % (in first 100),Hits
Westerborkpad,AmsterdamviaWesterborkpadroute,waypoint,MON,7,0,,[]
Herinneringscentrum Kamp Westerbork,AmsterdamviaWesterborkpadroute,waypoint,MON,18,64,100.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Midden-Drenthe__882__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Midden-Drenthe', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Midden-Drenthe__882__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Midden-Drenthe', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Midden-Drenthe__569__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Midden-Drenthe__569__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Midden-Drenthe', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Midden-Drenthe', u'http://dbpedia.org/resource/Ren%C3%A9_de_Boer', u'http://nl.dbpedia.org/resource/Ren\xe9_de_Boer']"
De 9 straatjes,AmsterdamviaWesterborkpadroute,waypoint,MON,19,5,0.0,"[u'http://www.vrouwonline.nl/mode/ShoppingGuides/_Content_Items/Artikelen/9+straatjes.htm', u'http://www.vrouwonline.nl/mode/ShoppingGuides/_Content_Items/Artikelen/9+straatjes.htm', u'http://www.vrouwonline.nl/mode/ShoppingGuides/_Content_Items/Artikelen/9+straatjes.htm', u'http://lodlaundromat.org/.well-known/genid/ed4586d2d49e106e9409d6cc0eeae835#httpx3Ax2Fx2Fposeablex2Dgirlx2Elivejournalx2Ecomx2Fdatax2Ffoafxxbnode0', u'http://webenemasuno.linkeddata.es/elviajero/resource/Guide/20030607ELPVIAVJE_6.TES']"
Hermitage,AmsterdamviaWesterborkpadroute,waypoint,MON,16,37936,100.0,"[u'http://nl.dbpedia.org/resource/Hermitage_(Arkansas)', u'http://nl.dbpedia.org/resource/Hermitage_(Dorset)', u'http://nl.dbpedia.org/resource/Hermitage_(Missouri)', u'http://nl.dbpedia.org/resource/Hermitage_(Pennsylvania)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam,_stadsdeel_Oost', u'http://nl.dbpedia.org/resource/Belmonte_de_Tajo', u'http://nl.dbpedia.org/resource/Chapiner\xeda', u'http://nl.dbpedia.org/resource/Hermitage', u'http://nl.dbpedia.org/resource/Hermitage_(Missouri)', u'http://nl.dbpedia.org/resource/Hermitage_(Pennsylvania)']"
Joods Historisch Museum,AmsterdamviaWesterborkpadroute,waypoint,MON,24,684,90.0,"[u'http://purl.org/collections/nl/am/t-14523', u'http://nl.dbpedia.org/resource/Mr._Visserplein', u'http://dbpedia.org/resource/Joods_Historisch_Museum', u'http://nl.dbpedia.org/resource/Mr._Visserplein', u'http://nl.dbpedia.org/resource/Joods_Historisch_Museum', u'http://nl.dbpedia.org/resource/Mr._Visserplein', u'http://nl.dbpedia.org/resource/Joods_Historisch_Museum', u'http://dbpedia.org/resource/Joods_Historisch_Museum', u'http://dbpedia.org/resource/Joods_Historisch_Museum', u'http://dbpedia.org/resource/Joods_Historisch_Museum']"
Dokwerker,AmsterdamviaWesterborkpadroute,waypoint,MON,8,127,70.0,"[u'http://purl.org/collections/nl/am/t-31725', u'http://nl.dbpedia.org/resource/De_Dokwerker', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1434__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://nl.dbpedia.org/resource/De_Dokwerker', u'http://purl.org/collections/nl/am/t-29168', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://www.wikidata.org/entity/Q1179838', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1434__1', u'http://wikidata.dbpedia.org/resource/Q1179838']"
Jonas Daniël Meijerplein,AmsterdamviaWesterborkpadroute,waypoint,LOC,18,2,0.0,"[u'http://lobid.org/resource/HT004379339', u'http://lobid.org/resource/HT004379339']"
Joodse wijk,AmsterdamviaWesterborkpadroute,waypoint,LOC,15,205,80.0,"[u'http://nl.dbpedia.org/resource/Joodse_wijk', u'http://wikidata.dbpedia.org/resource/Q1186403', u'http://www.wikidata.org/entity/Q1186403', u'http://nl.dbpedia.org/resource/Joodse_wijk_van_Trebic', u'http://nl.dbpedia.org/resource/Joodse_wijk_van_Trebic', u'http://wikidata.dbpedia.org/resource/Q250015', u'http://www.wikidata.org/entity/Q250015', u'http://nl.dbpedia.org/resource/Joodse_wijk_van_T\u0159eb\xed\u010d', u'http://nl.dbpedia.org/resource/Joodse_wijk_van_T\u0159eb\xed\u010d', u'http://nl.dbpedia.org/resource/Joodse_wijk_van_T\u0159eb\xed\u010d']"
Spiegelmonument,AmsterdamviaWesterborkpadroute,waypoint,MON,6,5,100.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1501__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1501__1', u'http://nl.dbpedia.org/resource/Auschwitzherdenking', u'http://nl.dbpedia.org/resource/Auschwitzherdenking', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam']"
Hollandsche Schouwburg,AmsterdamviaWesterborkpadroute,waypoint,MON,16,115,90.0,"[u'http://wikidata.dbpedia.org/resource/Q2206529', u'http://nl.dbpedia.org/resource/Hollandsche_Schouwburg', u'http://nl.dbpedia.org/resource/Hollandsche_Schouwburg', u'http://www.wikidata.org/entity/Q2206529', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1516__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1516__1', u'http://nl.dbpedia.org/resource/De_Hollandsche_Schouwburg', u'http://nl.dbpedia.org/resource/Hollandsche_Schouwburg_(Amsterdam)', u'http://wikidata.dbpedia.org/resource/Q18813324', u'http://nl.dbpedia.org/resource/Hollandsche_Schouwburg_(Amsterdam)']"
