Literal,Source,Part of the text,Entity type,ES Time elapsed,# ES Hits,DBpedia % (in first 100),Hits
Westerborkpad,AmsterdamviaWesterborkpadroute,waypoint,MON,1,0,,[]
Herinneringscentrum Kamp Westerbork,AmsterdamviaWesterborkpadroute,waypoint,MON,3,64,51.5625,"[u'http://lodlaundromat.org/.well-known/genid/69e49e0614fe3f2e2514172869a02486#HT007536510BNode0', u'http://lobid.org/resource/HT015436744', u'http://lobid.org/resource/HT015732999', u'http://lodlaundromat.org/.well-known/genid/eb708c5a670cbcd738b29887fddeda9c#HT014787013BNode0', u'http://lodlaundromat.org/.well-known/genid/eb708c5a670cbcd738b29887fddeda9c#HT015732999BNode0', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Midden-Drenthe__882__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Midden-Drenthe', u'http://lodlaundromat.org/.well-known/genid/3c38f5c76eac252d972c5404ed94f5a1#TT000746252BNode0', u'http://lobid.org/resource/TT000746252', u'http://lobid.org/resource/HT007536510', u'http://lobid.org/resource/HT003609534', u'http://lodlaundromat.org/.well-known/genid/3059c552a886bcc15e6540fe62cbd2e0#HT003609534BNode0', u'http://lobid.org/resource/HT014787013', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Midden-Drenthe__882__1', u'http://d-nb.info/gnd/2146989-1', u'http://d-nb.info/gnd/2146989-1', u'http://d-nb.info/gnd/16199161-0', u'http://lodlaundromat.org/.well-known/genid/eb708c5a670cbcd738b29887fddeda9c#HT015732979BNode0', u'http://lobid.org/resource/HT015732979', u'http://lodlaundromat.org/.well-known/genid/9e7a794640b407e05bbaa2afba2c283c#TT000746569BNode0']"
De 9 straatjes,AmsterdamviaWesterborkpadroute,waypoint,MON,4,5,0.0,"[u'http://www.vrouwonline.nl/mode/ShoppingGuides/_Content_Items/Artikelen/9+straatjes.htm', u'http://www.vrouwonline.nl/mode/ShoppingGuides/_Content_Items/Artikelen/9+straatjes.htm', u'http://www.vrouwonline.nl/mode/ShoppingGuides/_Content_Items/Artikelen/9+straatjes.htm', u'http://lodlaundromat.org/.well-known/genid/ed4586d2d49e106e9409d6cc0eeae835#httpx3Ax2Fx2Fposeablex2Dgirlx2Elivejournalx2Ecomx2Fdatax2Ffoafxxbnode0', u'http://webenemasuno.linkeddata.es/elviajero/resource/Guide/20030607ELPVIAVJE_6.TES']"
Hermitage,AmsterdamviaWesterborkpadroute,waypoint,MON,9,37936,78.0,"[u'http://www.geonames.org/ontology#S.HERM', u'http://nl.dbpedia.org/resource/Hermitage_(Arkansas)', u'http://nl.dbpedia.org/resource/Hermitage_(Dorset)', u'http://nl.dbpedia.org/resource/Hermitage_(Missouri)', u'http://nl.dbpedia.org/resource/Hermitage_(Pennsylvania)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam,_stadsdeel_Oost', u'http://nl.dbpedia.org/resource/Belmonte_de_Tajo', u'http://nl.dbpedia.org/resource/Chapiner\xeda', u'http://nl.dbpedia.org/resource/Hermitage', u'http://nl.dbpedia.org/resource/Hermitage_(Missouri)', u'http://nl.dbpedia.org/resource/Hermitage_(Pennsylvania)', u'http://dbpedia.org/resource/Hickory_County,_Missouri', u'http://dbpedia.org/resource/Hickory_County,_Missouri', u'http://dbpedia.org/resource/4758_Hermitage', u'http://ca.dbpedia.org/resource/Hermitage_(Missouri)', u'http://ht.dbpedia.org/resource/Hermitage,_Pennsilvani', u'http://nl.dbpedia.org/resource/Hermitage_(Arkansas)', u'http://nl.dbpedia.org/resource/Hermitage_(Dorset)', u'http://dbpedia.org/resource/Hermitage,_Louisiana', u'http://dbpedia.org/resource/Hermitage_(Darrow,_Louisiana)']"
Joods Historisch Museum,AmsterdamviaWesterborkpadroute,waypoint,MON,19,684,53.0,"[u'http://dbpedia.org/resource/Joods_Historisch_Museum', u'http://rdf.freebase.com/ns/m.027x7k3', u'http://purl.org/collections/nl/am/t-14523', u'http://wikidata.dbpedia.org/resource/Q702726', u'http://de.dbpedia.org/resource/Joods_Historisch_Museum', u'http://lod.hebis.de/resource/04657195', u'http://lod.hebis.de/resource/04657195', u'http://it.dbpedia.org/resource/Joods_Historisch_Museum', u'http://fr.dbpedia.org/resource/Charlotte_Salomon', u'http://fr.dbpedia.org/resource/Charlotte_Salomon', u'http://lobid.org/resource/HT016498327', u'http://lobid.org/resource/HT013162678', u'http://lodlaundromat.org/.well-known/genid/0e0d7c6061d32603ba7d7ec51396f728#HT013162678BNode0', u'http://d-nb.info/gnd/4209556-6', u'http://lobid.org/resource/HT017149459', u'http://nl.dbpedia.org/resource/Mr._Visserplein', u'http://lod.hebis.de/resource/09554772', u'http://dbpedia.org/resource/Joods_Historisch_Museum', u'http://dbpedia.org/resource/Charlotte_Salomon', u'http://dbpedia.org/resource/Charlotte_Salomon']"
Dokwerker,AmsterdamviaWesterborkpadroute,waypoint,MON,5,127,79.0,"[u'http://purl.org/collections/nl/am/t-31725', u'http://data.europeana.eu/proxy/provider/09421/E93DAF7FD8DACA0F4F887E62079D7989238EDF43', u'http://nl.dbpedia.org/resource/De_Dokwerker', u'http://wikidata.dbpedia.org/resource/Q1179838', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1434__1', u'http://www.wikidata.org/entity/Q1179838S5DAA7E82-1334-4658-AED9-88E6C486D9A2', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://nl.dbpedia.org/resource/De_Dokwerker', u'http://purl.org/collections/nl/am/t-29168', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://www.wikidata.org/entity/Q1179838', u'http://linkedgeodata.org/triplify/node34051159', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1434__1', u'http://de.dbpedia.org/resource/De_Dokwerker', u'http://wikidata.dbpedia.org/resource/Q1179838', u'http://de.dbpedia.org/resource/De_Dokwerker', u'http://www.wikidata.org/entity/Q1179838', u'http://sws.geonames.org/6951797/', u'http://nl.dbpedia.org/resource/Jonas_Dani\xebl_Meijerplein', u'http://nl.dbpedia.org/resource/Jonas_Dani\xebl_Meijerplein']"
Jonas Daniël Meijerplein,AmsterdamviaWesterborkpadroute,waypoint,LOC,13,2,0.0,"[u'http://lobid.org/resource/HT004379339', u'http://lobid.org/resource/HT004379339']"
Joodse wijk,AmsterdamviaWesterborkpadroute,waypoint,LOC,12,205,97.0,"[u'http://nl.dbpedia.org/resource/Joodse_wijk', u'http://wikidata.dbpedia.org/resource/Q1186403', u'http://www.wikidata.org/entity/Q1186403', u'http://nl.dbpedia.org/resource/Joodse_wijk_van_Trebic', u'http://nl.dbpedia.org/resource/Joodse_wijk_van_Trebic', u'http://wikidata.dbpedia.org/resource/Q250015', u'http://www.wikidata.org/entity/Q250015', u'http://nl.dbpedia.org/resource/Joodse_wijk_van_T\u0159eb\xed\u010d', u'http://nl.dbpedia.org/resource/Joodse_wijk_van_T\u0159eb\xed\u010d', u'http://nl.dbpedia.org/resource/Joodse_wijk_van_T\u0159eb\xed\u010d', u'http://nl.dbpedia.org/resource/Joodse_wijk_van_T\u0159eb\xed\u010d', u'http://nl.dbpedia.org/resource/Joodse_wijk_van_T\u0159eb\xed\u010d', u'http://nl.dbpedia.org/resource/Joodse_wijk_van_T\u0159eb\xed\u010d', u'http://nl.dbpedia.org/resource/Joodse_wijk_van_T\u0159eb\xed\u010d', u'http://nl.dbpedia.org/resource/Joodse_wijk_van_T\u0159eb\xed\u010d', u'http://nl.dbpedia.org/resource/Sint-Procopiusbasiliek', u'http://nl.dbpedia.org/resource/Sint-Procopiusbasiliek__Sint-Procopiusbasiliek__1', u'http://nl.dbpedia.org/resource/Sint-Procopiusbasiliek', u'http://nl.dbpedia.org/resource/Sint-Procopiusbasiliek', u'http://nl.dbpedia.org/resource/Sint-Procopiusbasiliek__Sint-Procopiusbasiliek__1']"
Spiegelmonument,AmsterdamviaWesterborkpadroute,waypoint,MON,5,5,100.0,"[u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1501__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1501__1', u'http://nl.dbpedia.org/resource/Auschwitzherdenking', u'http://nl.dbpedia.org/resource/Auschwitzherdenking', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam']"
Hollandsche Schouwburg,AmsterdamviaWesterborkpadroute,waypoint,MON,14,115,80.0,"[u'http://wikidata.dbpedia.org/resource/Q2206529', u'http://www.wikidata.org/entity/Q2206529', u'http://nl.dbpedia.org/resource/Hollandsche_Schouwburg', u'http://nl.dbpedia.org/resource/Hollandsche_Schouwburg', u'http://wikidata.dbpedia.org/resource/Q2206529', u'http://sws.geonames.org/6951699/', u'http://www.wikidata.org/entity/Q2206529', u'http://linkedgeodata.org/triplify/node432506873', u'http://sws.geonames.org/6951699/', u'http://linkedgeodata.org/triplify/node432506873', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1516__1', u'http://id.loc.gov/authorities/names/n2013031694', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1516__1', u'http://nl.dbpedia.org/resource/De_Hollandsche_Schouwburg', u'http://nl.dbpedia.org/resource/Hollandsche_Schouwburg_(Amsterdam)', u'http://wikidata.dbpedia.org/resource/Q18813324', u'http://d-nb.info/gnd/172436818', u'http://d-nb.info/gnd/4841376-8', u'http://nl.dbpedia.org/resource/Hollandsche_Schouwburg_(Amsterdam)', u'http://nl.dbpedia.org/resource/De_Hollandsche_Schouwburg']"
Transvaalplein,AmsterdamviaWesterborkpadroute,waypoint,LOC,5,19,63.1578947368421,"[u'http://wikidata.dbpedia.org/resource/Q19570442', u'http://bag.kadaster.nl/id/openbareruimte/0855300000001851', u'http://wikidata.dbpedia.org/resource/Q19570448', u'http://wikidata.dbpedia.org/resource/Q19570445', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://bag.kadaster.nl/id/openbareruimte/0363300000005149', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1472__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1472__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://bag.kadaster.nl/id/openbareruimte/0153300000200472', u'http://bag.kadaster.nl/id/openbareruimte/0363300000005149', u'http://lobid.org/resource/HT004363101', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1472__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__1472__1', u'http://lod.b3kat.de/title/BV000429198', u'http://lobid.org/resource/HT004363101', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam']"
Muiderpoortstation,AmsterdamviaWesterborkpadroute,waypoint,LOC,5,87,98.85057471264368,"[u'http://nl.dbpedia.org/resource/Muiderpoortstation', u'http://nl.dbpedia.org/resource/Muiderpoortstation', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__102__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam__102__1', u'http://nl.dbpedia.org/resource/Lijst_van_oorlogsmonumenten_in_Amsterdam', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam,_stadsdeel_Oost', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam-Oost__Amsterdam__90', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam-Oost__Amsterdam__90', u'http://www.wikidata.org/entity/Q17292013', u'http://wikidata.dbpedia.org/resource/Q17292013', u'http://nl.dbpedia.org/resource/Tramlijn_3_(Amsterdam)', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam,_stadsdeel_Oost', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam-Oost', u'http://nl.dbpedia.org/resource/Lijst_van_rijksmonumenten_in_Amsterdam-Oost', u'http://nl.dbpedia.org/resource/Tramlijn_3_(Amsterdam)', u'http://nl.dbpedia.org/resource/Tramlijn_3_(Amsterdam)', u'http://nl.dbpedia.org/resource/Tramlijn_3_(Amsterdam)', u'http://nl.dbpedia.org/resource/Buslijn_40_(Amsterdam)', u'http://nl.dbpedia.org/resource/Station_Amsterdam_Muiderpoort']"
Jan Dokter,AmsterdamviaWesterborkpadroute,in text ,PER,15,0,,[]
Amsterdam,AmsterdamviaWesterborkpadroute,in text,LOC,47,1339677,1.0,"[u'http://nl.dbpedia.org/resource/Amsterdam', u'http://ld.zdb-services.de/resource/969166-2', u'http://ld.zdb-services.de/resource/977031-8', u'http://ld.zdb-services.de/resource/977039-2', u'http://ld.zdb-services.de/resource/970809-1', u'http://ld.zdb-services.de/resource/986986-4', u'http://ld.zdb-services.de/resource/978967-4', u'http://ld.zdb-services.de/resource/988032-x', u'http://ld.zdb-services.de/resource/972689-5', u'http://ld.zdb-services.de/resource/988881-0', u'http://ld.zdb-services.de/resource/989225-4', u'http://ld.zdb-services.de/resource/989254-0', u'http://ld.zdb-services.de/resource/419859-1', u'http://ld.zdb-services.de/resource/412619-1', u'http://ld.zdb-services.de/resource/424166-6', u'http://ld.zdb-services.de/resource/424552-0', u'http://ld.zdb-services.de/resource/413711-5', u'http://ld.zdb-services.de/resource/2691961-8', u'http://ld.zdb-services.de/resource/2693077-8', u'http://ld.zdb-services.de/resource/2694689-0']"
kamp Westerbork,AmsterdamviaWesterborkpadroute,in text,LOC,13,556,72.0,"[u'http://nl.dbpedia.org/resource/Kamp_Westerbork', u'http://dbpedia.org/resource/Westerbork_transit_camp', u'http://dbpedia.org/resource/Westerbork_concentration_camp', u'http://dbpedia.org/resource/Westerbork_concentration_camp', u'http://dbpedia.org/resource/Westerbork_concentration_camp', u'http://dbpedia.org/resource/Westerbork_transit_camp', u'http://dbpedia.org/resource/Westerbork_transit_camp', u'http://dbpedia.org/resource/Westerbork_transit_camp', u'http://dbpedia.org/resource/Westerbork_transit_camp', u'http://dbpedia.org/resource/Westerbork_transit_camp', u'http://www.wikidata.org/entity/Q323420', u'http://fy.dbpedia.org/resource/Kamp_Westerbork', u'http://linkedgeodata.org/triplify/way159641027', u'http://de.dbpedia.org/resource/Kamp_Westerbork', u'http://dbpedia.org/resource/Westerbork_transit_camp', u'http://nl.dbpedia.org/resource/Kamp_Westerbork', u'http://dbpedia.org/resource/Westerbork_concentration_camp', u'http://rdf.freebase.com/ns/m.0jr6l', u'http://wikidata.dbpedia.org/resource/Q18767806', u'http://wikidata.dbpedia.org/resource/Q323420']"
Duitsland,AmsterdamviaWesterborkpadroute,in text,LOC,12,166820,100.0,"[u'http://nl.dbpedia.org/resource/Limbach_(Bad_M\xfcnstereifel)', u'http://nl.dbpedia.org/resource/Lind_(Zirndorf)', u'http://nl.dbpedia.org/resource/Lindweiler_(Blankenheim)', u'http://nl.dbpedia.org/resource/Linum_(Fehrbellin)', u'http://nl.dbpedia.org/resource/Lommersdorf', u'http://nl.dbpedia.org/resource/Londorf', u'http://nl.dbpedia.org/resource/Losheim_(Hellenthal)', u'http://nl.dbpedia.org/resource/Loverich', u'http://nl.dbpedia.org/resource/Lucherberg', u'http://nl.dbpedia.org/resource/Luchthaven_Berlin-Gatow', u'http://nl.dbpedia.org/resource/Luchthaven_Berlin_Brandenburg', u'http://nl.dbpedia.org/resource/Luchthaven_Bremen', u'http://nl.dbpedia.org/resource/Luchthaven_Dresden', u'http://nl.dbpedia.org/resource/Luchthaven_Frankfurt-Hahn', u'http://nl.dbpedia.org/resource/Luchthaven_L\xfcbeck', u'http://nl.dbpedia.org/resource/Luchthaven_M\xfcnchen', u'http://nl.dbpedia.org/resource/Luchthaven_Paderborn_Lippstadt', u'http://nl.dbpedia.org/resource/Ludwigshafen_(Rhein)_Hauptbahnhof', u'http://nl.dbpedia.org/resource/Lustnau', u'http://nl.dbpedia.org/resource/Lutterberg']"
Oostenrijk,AmsterdamviaWesterborkpadroute,in text,LOC,11,82933,99.0,"[u'http://sws.geonames.org/2782113/', u'http://nl.dbpedia.org/resource/Zeinisjoch', u'http://nl.dbpedia.org/resource/Zirler_Berg', u'http://nl.dbpedia.org/resource/Serles', u'http://nl.dbpedia.org/resource/Seekogel_(\xd6tztaler_Alpen)', u'http://nl.dbpedia.org/resource/Sieghartskirchen', u'http://nl.dbpedia.org/resource/S\xfcdliche_Sexegertenspitze', u'http://nl.dbpedia.org/resource/S\xfcdlicher_\xd6lgrubenkopf', u'http://nl.dbpedia.org/resource/Taufkarkogel', u'http://nl.dbpedia.org/resource/Teufelsegg', u'http://nl.dbpedia.org/resource/Thaneller', u'http://nl.dbpedia.org/resource/Thierberg', u'http://nl.dbpedia.org/resource/Verpeilh\xfctte', u'http://nl.dbpedia.org/resource/Zwettl_(gemeente)', u'http://nl.dbpedia.org/resource/Monte_Coglians', u'http://nl.dbpedia.org/resource/Moosbach_(Opper-Oostenrijk)', u'http://nl.dbpedia.org/resource/Moosburg_(Karinthi\xeb)', u'http://nl.dbpedia.org/resource/Mooskirchen', u'http://nl.dbpedia.org/resource/Muckendorf-Wipfing', u'http://nl.dbpedia.org/resource/Muggendorf_(Neder-Oostenrijk)']"
Auschwitz,AmsterdamviaWesterborkpadroute,in text,LOC,9,52430,65.0,"[u'http://ld.zdb-services.de/resource/2199668-4', u'http://nl.dbpedia.org/resource/Auschwitz', u'http://nl.dbpedia.org/resource/Auschwitz_(stad)', u'http://nl.dbpedia.org/resource/Auschwitz_(stad)', u'http://la.dbpedia.org/resource/Auschwitz', u'http://de.dbpedia.org/resource/Auschwitz_(Film)', u'http://lt.dbpedia.org/resource/Auschwitz', u'http://is.dbpedia.org/resource/Auschwitz', u'http://dbpedia.org/resource/Auschwitz_(disambiguation)', u'http://lmo.dbpedia.org/resource/Auschwitz', u'http://dbpedia.org/resource/Auschwitz_concentration_camp', u'http://dbpedia.org/resource/Edith_Stein', u'http://dbpedia.org/resource/Gertrud_Kolmar', u'http://dbpedia.org/resource/Ilse_Weber', u'http://id.dbpedia.org/resource/Auschwitz', u'http://dbpedia.org/resource/Auschwitz_%28Stadium%29', u'http://dbpedia.org/resource/Rudolf_H%C3%B6ss', u'http://dbpedia.org/resource/Kurt_Gerron', u'http://dbpedia.org/resource/Charlotte_Salomon', u'http://dbpedia.org/resource/Edith_Stein']"
Sobibor,AmsterdamviaWesterborkpadroute,in text,LOC,7,9285,74.0,"[u'http://dbpedia.org/resource/Sobibor_extermination_camp', u'http://dbpedia.org/resource/Sobibor', u'http://dbpedia.org/resource/Operation_Reinhard', u'http://dbpedia.org/resource/Sobibor_extermination_camp', u'http://dbpedia.org/resource/Sobibor_extermination_camp', u'http://sws.geonames.org/758724/', u'http://dbpedia.org/resource/Sobibor_extermination_camp', u'http://dbpedia.org/resource/Sobibor_extermination_camp', u'http://dbpedia.org/resource/Sobibor_extermination_camp', u'http://dbpedia.org/resource/Sobibor_extermination_camp', u'http://dbpedia.org/resource/Sobib\xf3r_extermination_camp', u'http://rdf.freebase.com/ns/m.042pgm', u'http://lodlaundromat.org/.well-known/genid/e50384ae27132be62474f52ee64d6e48#httpx3Ax2Fx2Frdfx2Efreebasex2Ecomx2Frdfx2Fmx2F07s88vzxxbnode6', u'http://fi.dbpedia.org/resource/Sobib\xf3rin_tuhoamisleiri', u'http://dbpedia.org/resource/Sobibor_extermination_camp', u'http://dbpedia.org/resource/Operation_Reinhard', u'http://dbpedia.org/resource/Escape_from_Sobibor', u'http://dbpedia.org/resource/Sobibor_extermination_camp', u'http://dbpedia.org/resource/Sobibor', u'http://wikidata.dbpedia.org/resource/Q152658']"
